tick;time;drops;
0;0;44268;
1;787;44268;
2;1144;33714;
3;508;28976;
4;430;25134;
5;409;21855;
6;365;19042;
7;317;16620;
8;313;14531;
9;290;12742;
10;262;11223;
11;247;9939;
12;285;8830;
13;286;7874;
14;205;7060;
15;225;6351;
16;217;5742;
17;198;5226;
18;219;4771;
19;212;4388;
20;194;4051;
21;219;3750;
22;207;3471;
23;177;3223;
24;195;3005;
25;164;2819;
26;211;2660;
27;209;2520;
28;221;2396;
29;199;2290;
30;187;2194;
31;221;2107;
32;196;2031;
33;167;1964;
34;192;1905;
35;202;1852;
36;195;1801;
37;180;1756;
38;180;1712;
39;174;1675;
40;179;1639;
41;180;1605;
42;190;1572;
43;170;1541;
44;180;1512;
45;174;1487;
46;170;1463;
47;183;1440;
48;183;1418;
49;179;1397;
50;178;1377;
51;179;1359;
52;166;1341;
53;263;1323;
54;210;1305;
55;184;1289;
56;200;1275;
57;218;1261;
58;196;1248;
59;201;1237;
60;177;1227;
61;176;1217;
62;183;1207;
63;190;1198;
64;169;1190;
65;176;1183;
66;174;1176;
67;169;1170;
68;177;1164;
69;170;1159;
70;169;1154;
71;189;1149;
72;198;1144;
73;191;1139;
74;170;1134;
75;182;1129;
76;188;1125;
77;187;1121;
78;166;1117;
79;175;1113;
80;203;1109;
81;206;1105;
82;171;1101;
83;159;1097;
84;165;1093;
85;173;1089;
86;158;1085;
87;168;1081;
88;160;1077;
89;165;1073;
90;168;1069;
91;165;1065;
92;167;1061;
93;169;1057;
94;162;1053;
95;168;1049;
96;159;1045;
97;193;1041;
98;175;1037;
99;165;1033;
100;167;1029;
101;174;1025;
102;161;1022;
103;178;1021;
104;154;1020;
105;167;1019;
106;167;1018;
107;160;1017;
108;167;1016;
109;174;1015;
110;154;1014;
111;172;1013;
112;160;1012;
113;167;1011;
114;166;1010;
115;166;1009;
116;162;1008;
117;163;1007;
118;169;1006;
119;165;1005;
120;156;1004;
121;168;1003;
122;162;1002;
123;158;1002;
124;168;1002;
125;162;1002;
126;173;1002;
127;178;1002;
128;158;1002;
129;176;1002;
130;168;1002;
131;169;1002;
132;176;1002;
133;170;1002;
134;173;1002;
135;163;1002;
136;171;1002;
137;169;1002;
138;161;1002;
139;173;1002;
140;177;1002;
141;159;1002;
142;170;1002;
143;156;1002;
144;166;1002;
145;182;1002;
146;159;1002;
147;161;1002;
148;161;1002;
149;167;1002;
150;176;1002;
151;155;1002;
152;169;1002;
153;167;1002;
154;162;1002;
155;166;1002;
156;158;1002;
157;172;1002;
158;167;1002;
159;160;1002;
160;176;1002;
161;155;1002;
162;170;1002;
163;175;1002;
164;168;1002;
165;167;1002;
166;173;1002;
167;157;1002;
168;175;1002;
169;163;1002;
170;174;1002;
171;168;1002;
172;161;1002;
173;172;1002;
174;158;1002;
175;172;1002;
176;166;1002;
177;158;1002;
178;172;1002;
179;165;1002;
180;158;1002;
181;171;1002;
182;165;1002;
183;162;1002;
184;170;1002;
185;167;1002;
186;197;1002;
187;177;1002;
188;171;1002;
189;160;1002;
190;166;1002;
191;162;1002;
192;162;1002;
193;170;1002;
194;156;1002;
195;161;1002;
196;166;1002;
197;165;1002;
198;157;1002;
199;171;1002;
200;159;1002;
