tick;time;drops
0;0;44268
1;996;44268
2;1524;33714
3;671;28976
4;448;25134
5;367;21855
6;326;19042
7;283;16620
8;261;14531
9;255;12742
10;282;11223
11;231;9939
12;215;8830
13;225;7874
14;178;7060
15;204;6351
16;198;5742
17;205;5226
18;198;4771
19;175;4388
20;194;4051
21;158;3750
22;190;3471
23;201;3223
24;187;3005
25;188;2819
26;191;2660
27;170;2520
28;165;2396
29;189;2290
30;156;2194
31;181;2107
32;187;2031
33;214;1964
34;154;1905
35;177;1852
36;172;1801
37;171;1756
38;190;1712
39;163;1675
40;175;1639
41;171;1605
42;166;1572
43;171;1541
44;173;1512
45;159;1487
46;167;1463
47;173;1440
48;162;1418
49;154;1397
50;168;1377
51;164;1359
52;159;1341
53;169;1323
54;166;1305
55;154;1289
56;173;1275
57;153;1261
58;165;1248
59;163;1237
60;156;1227
61;160;1217
62;161;1207
63;152;1198
64;160;1190
65;162;1183
66;152;1176
67;159;1170
68;162;1164
69;153;1159
70;163;1154
71;153;1149
72;158;1144
73;170;1139
74;152;1134
75;183;1129
76;159;1125
77;153;1121
78;168;1117
79;158;1113
80;152;1109
81;161;1105
82;192;1101
83;162;1097
84;160;1093
85;152;1089
86;170;1085
87;170;1081
88;166;1077
89;159;1073
90;155;1069
91;165;1065
92;169;1061
93;200;1057
94;163;1053
95;162;1049
96;152;1045
97;165;1041
98;153;1037
99;162;1033
100;164;1029
101;154;1025
102;160;1022
103;166;1021
104;150;1020
105;156;1019
106;157;1018
107;162;1017
108;158;1016
109;146;1015
110;156;1014
111;154;1013
112;158;1012
113;162;1011
114;156;1010
115;162;1009
116;180;1008
117;150;1007
118;156;1006
119;146;1005
120;170;1004
121;159;1003
122;162;1002
123;172;1002
124;164;1002
125;156;1002
126;153;1002
127;151;1002
128;158;1002
129;165;1002
130;142;1002
131;158;1002
132;197;1002
133;189;1002
134;171;1002
135;171;1002
136;172;1002
137;180;1002
138;172;1002
139;164;1002
140;152;1002
141;156;1002
142;160;1002
143;151;1002
144;159;1002
145;150;1002
146;156;1002
147;156;1002
148;152;1002
149;170;1002
150;159;1002
151;146;1002
152;155;1002
153;151;1002
154;154;1002
155;160;1002
156;155;1002
157;160;1002
158;190;1002
159;170;1002
160;171;1002
161;151;1002
162;162;1002
163;151;1002
164;156;1002
165;157;1002
166;148;1002
167;152;1002
168;199;1002
169;156;1002
170;173;1002
171;151;1002
172;157;1002
173;160;1002
174;150;1002
175;158;1002
176;152;1002
177;154;1002
178;195;1002
179;159;1002
180;168;1002
181;157;1002
182;181;1002
183;156;1002
184;148;1002
185;153;1002
186;166;1002
187;153;1002
188;184;1002
189;148;1002
190;156;1002
191;154;1002
192;148;1002
193;163;1002
194;152;1002
195;149;1002
196;160;1002
197;150;1002
198;193;1002
199;167;1002
200;148;1002
