tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;704;337.0;364.0;44268
2;1414;245.0;1169.0;33714
3;613;270.0;343.0;28976
4;539;205.0;333.0;25134
5;467;262.0;203.0;21855
6;598;267.0;331.0;19042
7;391;212.0;179.0;16620
8;398;252.0;146.0;14531
9;353;195.0;158.0;12742
10;277;172.0;104.0;11223
11;257;192.0;65.0;9939
12;245;182.0;63.0;8830
13;260;204.0;56.0;7874
14;245;190.0;55.0;7060
15;221;178.0;43.0;6351
16;207;156.0;51.0;5742
17;188;157.0;31.0;5226
18;220;192.0;28.0;4771
19;212;183.0;29.0;4388
20;186;161.0;25.0;4051
21;211;191.0;20.0;3750
22;163;144.0;18.0;3471
23;229;203.0;25.0;3223
24;189;170.0;19.0;3005
25;196;182.0;14.0;2819
26;193;179.0;14.0;2660
27;164;150.0;14.0;2520
28;196;183.0;13.0;2396
29;196;185.0;11.0;2290
30;193;182.0;11.0;2194
31;194;183.0;11.0;2107
32;198;188.0;9.0;2031
33;175;164.0;9.0;1964
34;183;174.0;9.0;1905
35;180;172.0;8.0;1852
36;171;163.0;8.0;1801
37;173;165.0;8.0;1756
38;183;175.0;7.0;1712
39;169;162.0;7.0;1675
40;170;163.0;7.0;1639
41;175;168.0;7.0;1605
42;172;165.0;7.0;1572
43;163;156.0;6.0;1541
44;190;183.0;7.0;1512
45;181;174.0;7.0;1487
46;179;173.0;6.0;1463
47;160;153.0;6.0;1440
48;172;164.0;7.0;1418
49;171;165.0;6.0;1397
50;161;154.0;6.0;1377
51;173;166.0;7.0;1359
52;169;163.0;6.0;1341
53;161;155.0;6.0;1323
54;170;164.0;6.0;1305
55;161;156.0;5.0;1289
56;164;158.0;6.0;1275
57;178;168.0;10.0;1261
58;169;163.0;6.0;1248
59;168;162.0;6.0;1237
60;180;175.0;5.0;1227
61;173;167.0;6.0;1217
62;177;169.0;8.0;1207
63;173;168.0;5.0;1198
64;161;156.0;5.0;1190
65;174;169.0;5.0;1183
66;167;162.0;5.0;1176
67;161;157.0;4.0;1170
68;159;154.0;5.0;1164
69;168;163.0;5.0;1159
70;160;155.0;5.0;1154
71;163;158.0;5.0;1149
72;157;152.0;4.0;1144
73;166;161.0;5.0;1139
74;162;157.0;5.0;1134
75;167;162.0;5.0;1129
76;170;164.0;5.0;1125
77;165;160.0;4.0;1121
78;152;147.0;5.0;1117
79;163;159.0;4.0;1113
80;152;147.0;5.0;1109
81;165;161.0;4.0;1105
82;180;175.0;5.0;1101
83;158;153.0;5.0;1097
84;161;156.0;5.0;1093
85;165;160.0;5.0;1089
86;155;150.0;5.0;1085
87;175;168.0;7.0;1081
88;158;152.0;6.0;1077
89;186;181.0;5.0;1073
