tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;456;203.0;252.0;44268
2;510;230.0;280.0;43922
3;501;213.0;288.0;43605
4;502;239.0;263.0;43295
5;471;213.0;258.0;43005
6;482;210.0;272.0;42724
7;518;264.0;254.0;42462
8;535;263.0;272.0;42197
9;494;235.0;259.0;41949
10;467;218.0;248.0;41721
11;520;272.0;248.0;41499
12;501;262.0;239.0;41294
13;538;293.0;245.0;41097
14;503;267.0;236.0;40905
15;509;273.0;236.0;40718
16;504;273.0;231.0;40540
17;546;310.0;236.0;40369
18;528;306.0;222.0;40210
19;547;339.0;208.0;40070
20;567;346.0;221.0;39924
21;557;353.0;204.0;39782
22;564;345.0;219.0;39640
23;554;348.0;206.0;39501
24;568;346.0;222.0;39366
25;544;330.0;214.0;39227
26;574;343.0;231.0;39092
27;558;345.0;213.0;38954
28;587;370.0;216.0;38822
29;565;368.0;197.0;38698
30;599;384.0;215.0;38576
31;542;347.0;195.0;38467
32;605;395.0;209.0;38355
33;578;365.0;213.0;38239
34;573;366.0;207.0;38118
35;590;374.0;216.0;37996
36;572;372.0;200.0;37870
37;599;390.0;208.0;37743
38;569;358.0;211.0;37615
39;571;362.0;209.0;37488
40;590;381.0;209.0;37360
41;562;360.0;201.0;37234
42;585;379.0;206.0;37112
43;554;365.0;189.0;36995
44;584;380.0;204.0;36886
45;577;387.0;190.0;36779
46;612;409.0;203.0;36682
47;595;394.0;201.0;36589
48;568;384.0;183.0;36500
49;590;386.0;204.0;36412
50;568;365.0;203.0;36330
51;566;372.0;194.0;36257
52;562;361.0;201.0;36187
53;579;386.0;193.0;36117
54;598;407.0;191.0;36061
55;602;410.0;192.0;36010
56;572;382.0;190.0;35965
57;594;395.0;199.0;35926
58;553;367.0;186.0;35892
59;591;403.0;188.0;35864
60;548;381.0;167.0;35843
61;587;403.0;184.0;35825
62;553;381.0;172.0;35807
63;611;420.0;191.0;35793
64;581;390.0;191.0;35781
65;565;398.0;167.0;35773
66;592;409.0;183.0;35766
67;576;391.0;185.0;35764
68;553;369.0;184.0;35763
69;563;380.0;183.0;35763
70;585;419.0;166.0;35763
71;588;402.0;186.0;35763
72;586;401.0;184.0;35763
73;554;372.0;182.0;35763
74;572;388.0;183.0;35763
75;569;403.0;166.0;35763
76;597;414.0;183.0;35763
77;582;390.0;191.0;35763
78;583;416.0;167.0;35763
79;626;444.0;182.0;35763
80;636;454.0;182.0;35763
81;633;446.0;187.0;35763
82;690;430.0;260.0;35763
83;789;602.0;187.0;35763
84;764;485.0;279.0;35763
85;711;500.0;210.0;35763
86;621;425.0;196.0;35763
87;634;451.0;183.0;35763
88;613;429.0;184.0;35763
89;592;418.0;174.0;35763
90;629;443.0;186.0;35763
91;599;415.0;184.0;35763
92;611;427.0;184.0;35763
93;590;421.0;169.0;35763
94;606;425.0;181.0;35763
95;640;453.0;187.0;35763
96;607;418.0;189.0;35763
97;577;409.0;167.0;35763
98;620;436.0;184.0;35763
99;629;440.0;188.0;35763
100;618;434.0;184.0;35763
101;620;436.0;184.0;35763
102;583;415.0;168.0;35763
103;608;418.0;190.0;35763
104;605;421.0;184.0;35763
105;600;410.0;190.0;35763
106;599;410.0;189.0;35763
107;598;409.0;188.0;35763
108;597;408.0;189.0;35763
109;713;513.0;200.0;35763
110;691;448.0;242.0;35763
111;880;626.0;254.0;35763
112;679;470.0;209.0;35763
113;621;437.0;184.0;35763
114;771;509.0;261.0;35763
115;844;588.0;256.0;35763
116;641;451.0;190.0;35763
117;739;556.0;183.0;35763
118;870;637.0;232.0;35763
119;673;487.0;186.0;35763
120;669;486.0;183.0;35763
121;637;449.0;187.0;35763
122;623;421.0;201.0;35763
123;645;438.0;207.0;35763
124;773;522.0;250.0;35763
125;815;562.0;253.0;35763
126;708;475.0;233.0;35763
127;911;647.0;264.0;35763
128;761;539.0;222.0;35763
129;640;442.0;198.0;35763
130;735;476.0;259.0;35763
131;712;521.0;191.0;35763
132;762;553.0;209.0;35763
133;727;474.0;253.0;35763
134;692;473.0;218.0;35763
135;635;453.0;182.0;35763
136;595;407.0;188.0;35763
137;601;416.0;185.0;35763
138;636;449.0;187.0;35763
139;623;445.0;178.0;35763
140;624;455.0;169.0;35763
141;616;433.0;182.0;35763
142;632;450.0;182.0;35763
143;688;504.0;184.0;35763
144;665;482.0;183.0;35763
145;644;458.0;186.0;35763
146;632;443.0;189.0;35763
147;610;433.0;177.0;35763
148;627;443.0;184.0;35763
149;617;431.0;186.0;35763
150;627;434.0;193.0;35763
151;637;452.0;185.0;35763
152;662;476.0;186.0;35763
153;636;447.0;188.0;35763
154;605;437.0;168.0;35763
155;625;433.0;192.0;35763
156;640;458.0;182.0;35763
157;645;460.0;185.0;35763
158;617;431.0;186.0;35763
159;624;438.0;186.0;35763
160;648;462.0;186.0;35763
161;586;418.0;168.0;35763
162;616;434.0;182.0;35763
163;681;493.0;188.0;35763
164;603;416.0;187.0;35763
165;633;441.0;192.0;35763
166;577;392.0;185.0;35763
167;619;436.0;183.0;35763
168;661;468.0;193.0;35763
169;611;426.0;185.0;35763
170;637;453.0;184.0;35763
171;674;482.0;192.0;35763
172;632;461.0;171.0;35763
173;608;423.0;185.0;35763
174;584;395.0;188.0;35763
175;604;433.0;171.0;35763
176;683;514.0;169.0;35763
177;638;454.0;184.0;35763
178;629;443.0;186.0;35763
179;620;433.0;187.0;35763
180;638;452.0;186.0;35763
181;583;413.0;169.0;35763
182;594;408.0;186.0;35763
183;621;436.0;185.0;35763
184;637;450.0;186.0;35763
185;645;474.0;171.0;35763
186;653;483.0;170.0;35763
187;619;430.0;188.0;35763
188;660;474.0;186.0;35763
189;605;420.0;185.0;35763
190;551;360.0;191.0;35763
191;659;475.0;184.0;35763
192;638;456.0;181.0;35763
193;629;442.0;187.0;35763
194;617;429.0;188.0;35763
195;614;437.0;177.0;35763
196;647;477.0;170.0;35763
197;638;470.0;168.0;35763
198;667;497.0;170.0;35763
199;615;429.0;186.0;35763
200;620;433.0;187.0;35763
201;567;396.0;171.0;35763
202;642;475.0;167.0;35763
203;645;469.0;176.0;35763
204;631;444.0;187.0;35763
205;642;457.0;185.0;35763
206;612;425.0;187.0;35763
