tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;512;228.0;282.0;44268
2;868;506.0;361.0;43922
3;752;470.0;282.0;43605
4;482;234.0;248.0;43295
5;495;254.0;240.0;43005
6;471;233.0;238.0;42724
7;463;238.0;225.0;42462
8;491;269.0;222.0;42197
9;483;254.0;229.0;41949
10;452;246.0;206.0;41721
11;462;249.0;213.0;41499
12;469;273.0;196.0;41294
13;465;270.0;194.0;41097
14;459;272.0;187.0;40905
15;519;327.0;192.0;40718
16;427;260.0;167.0;40540
17;482;305.0;177.0;40369
18;470;293.0;177.0;40210
19;475;305.0;170.0;40070
20;491;319.0;172.0;39924
21;489;341.0;148.0;39782
22;535;373.0;162.0;39640
23;484;324.0;160.0;39501
24;490;339.0;151.0;39366
25;502;347.0;155.0;39227
26;477;327.0;150.0;39092
27;511;362.0;147.0;38954
28;497;360.0;137.0;38822
29;502;357.0;145.0;38698
30;785;511.0;273.0;38576
31;1009;770.0;239.0;38467
32;1021;741.0;280.0;38355
33;986;717.0;269.0;38239
34;964;726.0;238.0;38118
35;1008;768.0;240.0;37996
36;821;663.0;158.0;37870
37;536;373.0;163.0;37743
38;481;344.0;137.0;37615
39;518;371.0;147.0;37488
40;499;378.0;121.0;37360
41;496;379.0;117.0;37234
42;478;363.0;115.0;37112
43;545;418.0;127.0;36995
44;669;461.0;208.0;36886
45;1028;791.0;237.0;36779
46;978;730.0;248.0;36682
47;997;792.0;205.0;36589
48;1050;830.0;219.0;36500
49;1004;803.0;201.0;36412
50;1025;771.0;254.0;36330
51;1147;863.0;284.0;36257
52;1023;813.0;210.0;36187
53;1021;804.0;217.0;36117
54;855;738.0;117.0;36061
55;511;409.0;102.0;36010
56;479;371.0;108.0;35965
57;458;352.0;106.0;35926
58;483;377.0;106.0;35892
59;482;387.0;95.0;35864
60;561;423.0;138.0;35843
61;1011;809.0;202.0;35825
62;959;783.0;176.0;35807
63;947;770.0;177.0;35793
64;1020;824.0;196.0;35781
65;1013;836.0;176.0;35773
66;1005;814.0;191.0;35766
67;1050;872.0;178.0;35764
68;574;474.0;100.0;35763
69;547;443.0;104.0;35763
70;509;420.0;89.0;35763
71;480;395.0;85.0;35763
72;538;439.0;99.0;35763
73;466;367.0;99.0;35763
74;940;776.0;163.0;35763
75;1047;856.0;190.0;35763
76;1024;855.0;169.0;35763
77;1076;850.0;226.0;35763
78;1027;870.0;157.0;35763
79;1014;828.0;186.0;35763
80;1061;880.0;181.0;35763
81;988;824.0;164.0;35763
82;565;456.0;108.0;35763
83;457;374.0;83.0;35763
84;479;397.0;82.0;35763
85;480;398.0;82.0;35763
86;509;415.0;94.0;35763
87;500;418.0;82.0;35763
88;560;478.0;82.0;35763
89;440;358.0;82.0;35763
90;933;752.0;181.0;35763
91;994;834.0;160.0;35763
92;969;805.0;164.0;35763
93;1010;823.0;187.0;35763
94;991;833.0;158.0;35763
95;1048;869.0;179.0;35763
96;1075;923.0;152.0;35763
97;1058;875.0;183.0;35763
98;1047;892.0;155.0;35763
99;1065;888.0;177.0;35763
100;988;833.0;155.0;35763
101;1145;941.0;204.0;35763
102;1046;863.0;183.0;35763
103;1055;858.0;197.0;35763
104;1047;867.0;179.0;35763
105;619;541.0;78.0;35763
106;670;577.0;93.0;35763
107;535;447.0;88.0;35763
108;620;528.0;92.0;35763
109;687;604.0;83.0;35763
110;951;797.0;154.0;35763
111;1019;843.0;176.0;35763
112;1011;840.0;171.0;35763
113;1040;858.0;182.0;35763
114;1031;882.0;149.0;35763
115;1070;891.0;179.0;35763
116;1078;929.0;149.0;35763
117;1070;894.0;176.0;35763
118;1079;925.0;154.0;35763
119;1063;881.0;182.0;35763
120;1004;849.0;155.0;35763
121;1073;896.0;177.0;35763
122;1021;871.0;149.0;35763
123;1074;866.0;208.0;35763
124;984;830.0;154.0;35763
125;1058;879.0;179.0;35763
126;1068;916.0;152.0;35763
127;1015;915.0;100.0;35763
128;736;644.0;92.0;35763
129;590;497.0;93.0;35763
130;817;663.0;154.0;35763
131;1024;871.0;153.0;35763
132;1103;948.0;155.0;35763
133;1044;893.0;151.0;35763
134;1073;924.0;149.0;35763
135;1104;925.0;178.0;35763
136;1047;894.0;152.0;35763
137;1075;888.0;187.0;35763
138;1029;865.0;164.0;35763
139;1001;821.0;180.0;35763
140;1087;937.0;150.0;35763
141;1069;889.0;180.0;35763
142;1083;932.0;151.0;35763
143;1028;849.0;179.0;35763
144;992;836.0;156.0;35763
145;1110;901.0;209.0;35763
146;1068;895.0;173.0;35763
147;1066;886.0;180.0;35763
148;1040;886.0;154.0;35763
149;3462;3310.0;152.0;35763
150;1004;911.0;93.0;35763
151;717;604.0;113.0;35763
152;737;621.0;116.0;35763
153;768;623.0;145.0;35763
154;741;629.0;112.0;35763
155;986;814.0;172.0;35763
156;1026;870.0;156.0;35763
157;1024;847.0;177.0;35763
158;1117;966.0;151.0;35763
159;1071;900.0;171.0;35763
160;1007;855.0;152.0;35763
161;1018;846.0;171.0;35763
162;1296;1092.0;204.0;35763
163;1133;983.0;150.0;35763
164;989;839.0;149.0;35763
165;1027;874.0;153.0;35763
166;1036;886.0;150.0;35763
167;1070;905.0;165.0;35763
168;1028;855.0;173.0;35763
169;1013;822.0;189.0;35763
170;1025;813.0;211.0;35763
171;1034;883.0;151.0;35763
172;1011;858.0;153.0;35763
173;1082;918.0;164.0;35763
174;1035;861.0;173.0;35763
175;1013;860.0;153.0;35763
176;1045;876.0;169.0;35763
177;1055;902.0;152.0;35763
178;1001;828.0;173.0;35763
179;1029;853.0;176.0;35763
180;998;846.0;152.0;35763
181;1034;883.0;151.0;35763
182;1064;890.0;174.0;35763
183;986;833.0;153.0;35763
184;1026;872.0;154.0;35763
185;1028;882.0;146.0;35763
186;1067;900.0;167.0;35763
187;1037;882.0;155.0;35763
188;1059;883.0;176.0;35763
189;981;829.0;151.0;35763
190;1066;890.0;176.0;35763
191;1002;845.0;157.0;35763
192;1131;956.0;175.0;35763
193;1078;913.0;164.0;35763
194;1026;856.0;170.0;35763
195;1044;893.0;151.0;35763
196;1174;1010.0;164.0;35763
197;987;834.0;152.0;35763
198;1079;902.0;177.0;35763
199;1007;852.0;155.0;35763
200;1006;837.0;169.0;35763
201;1063;913.0;150.0;35763
202;1051;899.0;152.0;35763
203;1085;916.0;169.0;35763
204;1076;923.0;153.0;35763
205;1003;835.0;168.0;35763
206;1053;901.0;151.0;35763
207;1023;836.0;187.0;35763
208;1003;847.0;155.0;35763
209;1119;942.0;177.0;35763
210;1020;866.0;153.0;35763
211;1084;929.0;155.0;35763
212;1006;851.0;154.0;35763
213;1217;1055.0;162.0;35763
214;1011;863.0;148.0;35763
215;1010;842.0;149.0;35763
216;1166;994.0;172.0;35763
217;1094;942.0;152.0;35763
218;991;820.0;169.0;35763
219;1081;930.0;151.0;35763
220;1012;841.0;171.0;35763
221;991;840.0;151.0;35763
222;1082;912.0;170.0;35763
223;1077;922.0;155.0;35763
224;1141;979.0;162.0;35763
225;1135;872.0;263.0;35763
226;1107;912.0;195.0;35763
227;1040;884.0;156.0;35763
228;1056;907.0;149.0;35763
229;979;828.0;151.0;35763
230;1096;942.0;154.0;35763
231;1085;913.0;171.0;35763
232;1006;853.0;153.0;35763
233;1089;906.0;183.0;35763
234;1009;827.0;182.0;35763
235;1026;850.0;176.0;35763
