tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;430;216.0;214.0;44268
2;456;194.0;262.0;43922
3;417;185.0;232.0;43605
4;448;206.0;242.0;43295
5;456;221.0;235.0;43005
6;426;208.0;218.0;42724
7;450;208.0;242.0;42462
8;426;202.0;224.0;42197
9;430;220.0;210.0;41949
10;462;229.0;233.0;41721
11;424;220.0;204.0;41499
12;438;233.0;205.0;41294
13;436;238.0;198.0;41097
14;466;262.0;204.0;40905
15;441;245.0;196.0;40718
16;450;248.0;202.0;40540
17;468;273.0;195.0;40369
18;449;256.0;193.0;40210
19;454;264.0;190.0;40070
20;473;284.0;189.0;39924
21;476;288.0;188.0;39782
22;483;267.0;216.0;39640
23;447;263.0;184.0;39501
24;460;272.0;188.0;39366
25;486;281.0;205.0;39227
26;453;269.0;184.0;39092
27;471;286.0;185.0;38954
28;486;303.0;183.0;38822
29;488;285.0;203.0;38698
30;495;287.0;208.0;38576
31;463;283.0;180.0;38467
32;470;289.0;181.0;38355
33;492;316.0;176.0;38239
34;477;299.0;178.0;38118
35;505;309.0;196.0;37996
36;464;284.0;180.0;37870
37;478;301.0;177.0;37743
38;504;329.0;175.0;37615
39;473;297.0;176.0;37488
40;497;319.0;178.0;37360
41;480;307.0;172.0;37234
42;514;341.0;173.0;37112
43;482;308.0;173.0;36995
44;493;304.0;189.0;36886
45;469;300.0;169.0;36779
46;509;321.0;188.0;36682
47;472;306.0;166.0;36589
48;492;308.0;184.0;36500
49;460;294.0;166.0;36412
50;504;312.0;192.0;36330
51;469;306.0;163.0;36257
52;478;312.0;166.0;36187
53;510;346.0;164.0;36117
54;494;333.0;161.0;36061
55;488;332.0;156.0;36010
56;498;311.0;186.0;35965
57;467;312.0;155.0;35926
58;514;334.0;180.0;35892
59;467;314.0;153.0;35864
60;508;329.0;179.0;35843
61;480;324.0;156.0;35825
62;748;556.0;192.0;35807
63;508;358.0;150.0;35793
64;615;433.0;182.0;35781
