tick;time;drops
0;0;44268
1;373;44268
2;866;33714
3;539;28976
4;455;25134
5;366;21855
6;363;19042
7;310;16620
8;308;14531
9;267;12742
10;251;11223
11;236;9939
12;233;8830
13;257;7874
14;239;7060
15;229;6351
16;218;5742
17;212;5226
18;196;4771
19;199;4388
20;184;4051
21;209;3750
22;186;3471
23;205;3223
24;199;3005
25;160;2819
26;200;2660
27;196;2520
28;184;2396
29;197;2290
30;191;2194
31;163;2107
32;193;2031
33;190;1964
34;200;1905
35;153;1852
36;201;1801
37;175;1756
38;183;1712
39;167;1675
40;182;1639
41;176;1605
42;161;1572
43;178;1541
44;173;1512
45;168;1487
46;171;1463
47;174;1440
48;157;1418
49;177;1397
50;170;1377
51;167;1359
52;176;1341
53;172;1323
54;166;1305
55;167;1289
56;179;1275
57;158;1261
58;169;1248
59;170;1237
60;154;1227
61;217;1217
62;175;1207
63;184;1198
64;174;1190
65;192;1183
66;182;1176
67;192;1170
68;196;1164
69;181;1159
70;188;1154
71;183;1149
72;192;1144
73;169;1139
74;160;1134
75;169;1129
76;170;1125
77;153;1121
78;172;1117
79;153;1113
80;173;1109
81;164;1105
82;168;1101
83;174;1097
84;162;1093
85;157;1089
86;166;1085
87;170;1081
88;151;1077
89;168;1073
90;160;1069
91;168;1065
92;165;1061
93;164;1057
94;177;1053
95;168;1049
96;160;1045
97;174;1041
98;162;1037
99;169;1033
100;167;1029
101;155;1025
102;167;1022
103;169;1021
104;165;1020
105;176;1019
106;161;1018
107;168;1017
108;153;1016
109;164;1015
110;173;1014
111;158;1013
112;162;1012
113;167;1011
114;153;1010
115;169;1009
116;153;1008
117;167;1007
118;164;1006
119;155;1005
120;166;1004
121;155;1003
122;169;1002
123;172;1002
124;149;1002
125;165;1002
126;171;1002
127;173;1002
128;167;1002
129;160;1002
130;165;1002
131;170;1002
132;162;1002
133;162;1002
134;157;1002
135;170;1002
136;182;1002
137;151;1002
138;161;1002
139;158;1002
140;170;1002
141;166;1002
142;165;1002
143;168;1002
144;171;1002
145;162;1002
146;161;1002
147;161;1002
148;160;1002
149;169;1002
150;153;1002
151;171;1002
152;160;1002
153;172;1002
154;164;1002
155;161;1002
156;167;1002
157;161;1002
158;163;1002
159;175;1002
160;154;1002
161;169;1002
162;163;1002
163;162;1002
164;166;1002
165;164;1002
166;177;1002
167;168;1002
168;162;1002
169;163;1002
170;156;1002
171;168;1002
172;164;1002
173;157;1002
174;165;1002
175;158;1002
176;164;1002
177;175;1002
178;152;1002
179;168;1002
180;168;1002
181;162;1002
182;165;1002
183;160;1002
184;162;1002
185;170;1002
186;159;1002
187;173;1002
188;154;1002
189;172;1002
190;164;1002
191;156;1002
192;166;1002
193;154;1002
194;163;1002
195;171;1002
196;161;1002
197;159;1002
198;171;1002
199;150;1002
200;169;1002
201;162;1002
202;175;1002
203;164;1002
204;160;1002
205;169;1002
206;157;1002
207;162;1002
208;167;1002
209;156;1002
210;166;1002
211;168;1002
212;160;1002
213;167;1002
214;162;1002
215;165;1002
216;170;1002
217;153;1002
218;169;1002
219;150;1002
220;176;1002
221;167;1002
222;160;1002
223;162;1002
224;162;1002
225;162;1002
226;169;1002
227;152;1002
228;170;1002
229;175;1002
230;157;1002
231;162;1002
232;161;1002
233;160;1002
234;177;1002
235;157;1002
236;169;1002
237;154;1002
238;172;1002
239;161;1002
240;154;1002
241;163;1002
242;157;1002
243;161;1002
244;174;1002
245;154;1002
246;175;1002
247;171;1002
248;158;1002
249;160;1002
250;166;1002
251;169;1002
252;169;1002
253;155;1002
254;168;1002
255;157;1002
256;171;1002
257;214;1002
258;152;1002
259;172;1002
260;152;1002
261;171;1002
262;168;1002
263;160;1002
264;161;1002
265;171;1002
266;155;1002
267;170;1002
268;159;1002
269;177;1002
270;168;1002
271;153;1002
272;167;1002
273;162;1002
274;160;1002
275;174;1002
276;155;1002
277;174;1002
278;154;1002
279;171;1002
280;166;1002
281;160;1002
282;159;1002
283;169;1002
284;153;1002
285;173;1002
286;150;1002
287;170;1002
288;160;1002
289;158;1002
290;165;1002
291;158;1002
292;164;1002
293;172;1002
294;155;1002
295;175;1002
296;151;1002
297;177;1002
298;164;1002
299;175;1002
300;171;1002
