tick;time;drops
0;0;44268
1;765;44268
2;552;43922
3;597;43605
4;597;43295
5;469;43005
6;512;42724
7;460;42462
8;447;42197
9;482;41949
10;443;41721
11;459;41499
12;461;41294
13;447;41097
14;440;40905
15;461;40718
16;591;40540
17;526;40369
18;482;40210
19;469;40070
20;500;39924
21;472;39782
22;469;39640
23;479;39501
24;482;39366
25;488;39227
26;501;39092
27;510;38954
28;507;38822
29;479;38698
30;489;38576
31;500;38467
32;484;38355
33;470;38239
34;487;38118
35;477;37996
36;504;37870
37;486;37743
38;486;37615
39;497;37488
40;491;37360
41;520;37234
42;487;37112
43;493;36995
44;488;36886
45;467;36779
46;502;36682
47;495;36589
48;515;36500
49;511;36412
50;500;36330
51;469;36257
52;499;36187
53;513;36117
54;496;36061
55;503;36010
56;473;35965
57;507;35926
58;521;35892
59;488;35864
60;506;35843
61;485;35825
62;519;35807
63;506;35793
64;519;35781
65;530;35773
66;538;35766
67;514;35764
68;479;35763
69;456;35763
70;538;35763
71;466;35763
72;524;35763
73;507;35763
74;511;35763
75;468;35763
76;540;35763
77;510;35763
78;518;35763
79;515;35763
80;524;35763
81;518;35763
82;516;35763
83;521;35763
84;479;35763
85;552;35763
86;500;35763
87;530;35763
88;509;35763
89;651;35763
90;597;35763
91;590;35763
92;529;35763
93;528;35763
94;522;35763
95;545;35763
96;514;35763
97;530;35763
98;531;35763
99;559;35763
100;544;35763
101;514;35763
102;526;35763
103;521;35763
104;555;35763
105;529;35763
106;509;35763
107;533;35763
108;520;35763
109;533;35763
110;492;35763
111;553;35763
112;538;35763
113;570;35763
114;519;35763
115;524;35763
116;549;35763
117;558;35763
118;544;35763
119;546;35763
120;503;35763
121;540;35763
122;507;35763
123;539;35763
124;544;35763
125;490;35763
126;556;35763
127;573;35763
128;584;35763
129;553;35763
130;526;35763
131;530;35763
132;628;35763
133;537;35763
134;541;35763
135;538;35763
136;520;35763
137;509;35763
138;543;35763
139;558;35763
140;519;35763
141;530;35763
142;540;35763
143;567;35763
144;522;35763
145;524;35763
146;556;35763
147;579;35763
148;517;35763
149;535;35763
150;561;35763
151;563;35763
152;532;35763
153;564;35763
154;563;35763
155;542;35763
156;530;35763
157;534;35763
158;515;35763
159;555;35763
160;573;35763
161;530;35763
162;536;35763
163;556;35763
164;556;35763
165;538;35763
166;536;35763
167;569;35763
168;508;35763
169;569;35763
170;534;35763
171;528;35763
172;564;35763
173;549;35763
174;561;35763
175;562;35763
176;539;35763
177;542;35763
178;535;35763
179;531;35763
180;545;35763
181;549;35763
182;544;35763
183;543;35763
184;550;35763
185;539;35763
186;539;35763
187;523;35763
188;526;35763
189;525;35763
190;547;35763
191;559;35763
192;499;35763
193;525;35763
194;512;35763
195;952;35763
196;540;35763
197;508;35763
198;527;35763
199;553;35763
200;537;35763
