tick;time;drops
0;0;44268
1;368;44268
2;490;43922
3;411;43605
4;453;43295
5;447;43005
6;435;42724
7;419;42462
8;440;42197
9;459;41949
10;443;41721
11;446;41499
12;486;41294
13;443;41097
14;465;40905
15;465;40718
16;490;40540
17;451;40369
18;476;40210
19;478;40070
20;505;39924
21;482;39782
22;504;39640
23;493;39501
24;485;39366
25;510;39227
26;499;39092
27;504;38954
28;501;38822
29;493;38698
30;530;38576
31;506;38467
32;532;38355
33;525;38239
34;541;38118
35;553;37996
36;526;37870
37;550;37743
38;537;37615
39;501;37488
40;544;37360
41;501;37234
42;534;37112
43;546;36995
44;538;36886
45;522;36779
46;539;36682
47;543;36589
48;527;36500
49;522;36412
50;556;36330
51;570;36257
52;504;36187
53;550;36117
54;572;36061
55;529;36010
56;565;35965
57;559;35926
58;548;35892
59;505;35864
60;566;35843
61;562;35825
62;538;35807
63;527;35793
64;544;35781
65;512;35773
66;579;35766
67;521;35764
68;603;35763
69;599;35763
70;526;35763
71;540;35763
72;563;35763
73;568;35763
74;577;35763
75;561;35763
76;573;35763
77;574;35763
78;565;35763
79;580;35763
80;589;35763
81;558;35763
82;531;35763
83;556;35763
84;593;35763
85;597;35763
86;536;35763
87;587;35763
88;576;35763
89;562;35763
90;582;35763
91;550;35763
92;571;35763
93;618;35763
94;595;35763
95;1348;35763
96;557;35763
97;571;35763
98;543;35763
99;572;35763
100;610;35763
101;593;35763
102;580;35763
103;552;35763
104;548;35763
105;582;35763
106;558;35763
107;598;35763
108;597;35763
109;602;35763
110;545;35763
111;579;35763
112;603;35763
113;585;35763
114;589;35763
115;538;35763
116;581;35763
117;547;35763
118;576;35763
119;562;35763
120;583;35763
121;551;35763
122;569;35763
123;578;35763
124;581;35763
125;578;35763
126;594;35763
127;567;35763
128;543;35763
129;563;35763
130;573;35763
131;563;35763
132;567;35763
133;573;35763
134;547;35763
135;595;35763
136;583;35763
137;572;35763
138;583;35763
139;544;35763
140;564;35763
141;566;35763
142;614;35763
143;560;35763
144;567;35763
145;566;35763
146;562;35763
147;574;35763
148;572;35763
149;541;35763
150;536;35763
151;558;35763
152;593;35763
153;524;35763
154;572;35763
155;563;35763
156;572;35763
157;574;35763
158;572;35763
159;627;35763
160;548;35763
161;574;35763
162;585;35763
163;565;35763
164;577;35763
165;532;35763
166;557;35763
167;575;35763
168;582;35763
169;595;35763
170;588;35763
171;567;35763
172;569;35763
173;560;35763
174;511;35763
175;563;35763
176;579;35763
177;548;35763
178;592;35763
179;535;35763
180;554;35763
181;583;35763
182;558;35763
183;527;35763
184;580;35763
185;605;35763
186;585;35763
187;576;35763
188;580;35763
189;573;35763
190;589;35763
191;565;35763
192;562;35763
193;593;35763
194;598;35763
195;525;35763
196;542;35763
197;563;35763
198;572;35763
199;556;35763
200;573;35763
201;558;35763
202;583;35763
203;599;35763
204;601;35763
205;574;35763
206;537;35763
207;548;35763
208;608;35763
209;606;35763
210;541;35763
211;618;35763
212;596;35763
213;539;35763
214;579;35763
215;584;35763
216;591;35763
217;595;35763
218;577;35763
219;580;35763
220;579;35763
221;535;35763
222;579;35763
223;605;35763
224;561;35763
225;562;35763
226;554;35763
227;527;35763
228;590;35763
229;544;35763
230;565;35763
231;561;35763
232;543;35763
233;576;35763
234;565;35763
235;597;35763
236;605;35763
237;586;35763
238;582;35763
239;590;35763
240;576;35763
241;591;35763
242;593;35763
243;561;35763
244;552;35763
245;579;35763
246;606;35763
247;558;35763
248;557;35763
249;615;35763
250;556;35763
251;604;35763
252;567;35763
253;542;35763
254;571;35763
255;582;35763
256;570;35763
257;553;35763
258;542;35763
259;575;35763
260;571;35763
261;584;35763
262;586;35763
263;573;35763
264;560;35763
265;540;35763
266;574;35763
267;569;35763
268;569;35763
269;578;35763
270;590;35763
271;580;35763
272;538;35763
273;573;35763
274;572;35763
275;589;35763
276;571;35763
277;580;35763
278;572;35763
279;558;35763
280;597;35763
281;618;35763
282;554;35763
283;576;35763
284;576;35763
285;581;35763
286;581;35763
287;568;35763
288;593;35763
289;568;35763
290;558;35763
291;562;35763
292;579;35763
293;571;35763
294;580;35763
295;593;35763
296;583;35763
297;537;35763
298;580;35763
299;546;35763
300;547;35763
