tick;time;drops;
0;0;164687;
1;1962;164679;
2;7684;112299;
3;3657;87485;
4;2487;70139;
5;1755;57295;
6;1372;47568;
7;1217;39992;
8;1107;34012;
9;996;29204;
10;873;25321;
11;851;22114;
12;782;19482;
13;759;17298;
14;730;15440;
15;677;13850;
16;687;12473;
17;642;11309;
18;629;10308;
19;620;9462;
20;629;8738;
21;610;8108;
22;608;7560;
23;610;7071;
24;572;6639;
25;610;6255;
26;544;5908;
27;560;5587;
28;528;5304;
29;548;5048;
30;517;4818;
31;522;4609;
32;533;4416;
33;518;4245;
34;505;4086;
35;514;3940;
36;512;3806;
37;491;3680;
38;492;3565;
39;494;3457;
40;476;3363;
41;486;3276;
42;485;3195;
43;487;3123;
44;479;3055;
45;475;2991;
46;488;2935;
47;477;2880;
48;477;2827;
49;469;2777;
50;476;2731;
51;514;2689;
52;478;2651;
53;470;2613;
54;489;2576;
55;468;2541;
56;473;2508;
57;477;2478;
58;471;2450;
59;463;2424;
60;465;2398;
61;465;2374;
62;462;2351;
63;481;2329;
64;456;2307;
65;461;2286;
66;468;2265;
67;480;2246;
68;470;2227;
69;470;2208;
70;470;2190;
71;462;2173;
72;457;2157;
73;475;2141;
74;464;2125;
75;452;2109;
76;468;2093;
77;471;2077;
78;461;2063;
79;460;2049;
80;460;2035;
81;446;2021;
82;466;2008;
83;461;1996;
84;464;1985;
85;486;1974;
86;479;1964;
87;458;1955;
88;447;1946;
89;451;1938;
90;462;1930;
91;474;1923;
92;465;1916;
93;475;1909;
94;542;1902;
95;479;1895;
96;465;1888;
97;461;1882;
98;459;1877;
99;470;1872;
100;455;1868;
101;447;1864;
102;456;1860;
103;468;1856;
104;467;1852;
105;460;1848;
106;454;1844;
107;444;1840;
108;452;1836;
109;466;1833;
110;467;1830;
111;467;1827;
112;461;1824;
113;445;1821;
114;471;1818;
115;477;1815;
116;452;1812;
117;466;1809;
118;446;1807;
119;453;1805;
120;454;1803;
121;457;1801;
122;459;1799;
123;462;1797;
124;441;1796;
125;451;1795;
126;460;1794;
127;487;1793;
128;506;1792;
129;486;1791;
130;466;1790;
131;477;1789;
132;469;1789;
133;464;1789;
134;455;1789;
135;454;1789;
136;454;1789;
137;457;1789;
138;466;1789;
139;463;1789;
140;453;1789;
141;455;1789;
142;440;1789;
143;465;1789;
144;461;1789;
145;456;1789;
146;466;1789;
147;460;1789;
148;451;1789;
149;449;1789;
150;465;1789;
151;455;1789;
152;453;1789;
153;464;1789;
154;450;1789;
155;458;1789;
156;471;1789;
157;453;1789;
158;454;1789;
159;460;1789;
160;447;1789;
161;458;1789;
162;453;1789;
163;460;1789;
164;464;1789;
165;462;1789;
166;445;1789;
167;466;1789;
168;466;1789;
169;464;1789;
170;455;1789;
171;442;1789;
172;457;1789;
173;480;1789;
174;487;1789;
175;479;1789;
176;470;1789;
177;444;1789;
178;462;1789;
179;449;1789;
180;453;1789;
181;452;1789;
182;447;1789;
183;450;1789;
184;450;1789;
185;451;1789;
186;451;1789;
187;453;1789;
188;459;1789;
189;447;1789;
190;458;1789;
191;469;1789;
192;456;1789;
193;452;1789;
194;451;1789;
195;443;1789;
196;459;1789;
197;451;1789;
198;467;1789;
199;467;1789;
200;470;1789;
