tick;time;drops
0;347;44268
1;386;44268
2;230;33714
3;220;28976
4;159;25134
5;134;21855
6;131;19042
7;113;16620
8;107;14531
9;98;12742
10;94;11223
11;86;9939
12;86;8830
13;81;7874
14;82;7060
15;98;6351
16;100;5742
17;83;5226
18;82;4771
19;76;4388
20;75;4051
21;73;3750
22;80;3471
23;76;3223
24;67;3005
25;66;2819
26;69;2660
27;66;2520
28;69;2396
29;67;2290
30;84;2194
31;65;2107
32;64;2031
33;67;1964
34;68;1905
35;63;1852
36;69;1801
37;64;1756
38;75;1712
39;66;1675
40;62;1639
41;67;1605
42;64;1572
43;66;1541
44;63;1512
45;64;1487
46;68;1463
47;68;1440
48;67;1418
49;63;1397
50;84;1377
51;78;1359
52;70;1341
53;75;1323
54;77;1305
55;78;1289
56;67;1275
57;64;1261
58;63;1248
59;61;1237
60;62;1227
61;66;1217
62;65;1207
63;80;1198
64;80;1190
65;117;1183
66;74;1176
67;67;1170
68;68;1164
69;61;1159
70;64;1154
71;65;1149
72;70;1144
73;63;1139
74;61;1134
75;60;1129
76;62;1125
77;59;1121
78;60;1117
79;62;1113
80;61;1109
81;67;1105
82;67;1101
83;70;1097
84;62;1093
85;63;1089
86;58;1085
87;57;1081
88;75;1077
89;57;1073
90;78;1069
91;70;1065
92;65;1061
93;61;1057
94;64;1053
95;63;1049
96;62;1045
97;72;1041
98;59;1037
99;77;1033
100;63;1029
101;63;1025
102;70;1022
103;60;1021
104;62;1020
105;66;1019
106;66;1018
107;61;1017
108;72;1016
109;62;1015
110;63;1014
111;62;1013
112;62;1012
113;67;1011
114;63;1010
115;65;1009
116;67;1008
117;71;1007
118;63;1006
119;66;1005
120;64;1004
121;64;1003
122;67;1002
123;60;1002
124;62;1002
125;66;1002
126;62;1002
127;73;1002
128;61;1002
129;61;1002
130;60;1002
131;66;1002
132;60;1002
133;61;1002
134;65;1002
135;66;1002
136;71;1002
137;71;1002
138;67;1002
139;75;1002
140;63;1002
141;65;1002
142;63;1002
143;65;1002
144;63;1002
145;75;1002
146;62;1002
147;63;1002
148;67;1002
149;65;1002
150;66;1002
151;63;1002
152;64;1002
153;71;1002
154;62;1002
155;109;1002
156;63;1002
157;65;1002
158;68;1002
159;64;1002
160;61;1002
161;67;1002
162;66;1002
163;64;1002
164;70;1002
165;73;1002
166;66;1002
167;68;1002
168;69;1002
169;67;1002
170;64;1002
171;72;1002
172;73;1002
173;58;1002
174;69;1002
175;63;1002
176;67;1002
177;60;1002
178;60;1002
179;60;1002
180;66;1002
181;59;1002
182;56;1002
183;54;1002
184;66;1002
185;62;1002
186;66;1002
187;73;1002
188;68;1002
189;71;1002
190;60;1002
191;66;1002
192;70;1002
193;61;1002
194;66;1002
195;63;1002
196;61;1002
197;67;1002
198;67;1002
199;60;1002
200;58;1002
