tick;time;time_patch;time_drop;drops
0;167;112;51.00000000000001;44268
1;225;107.99999999999999;76.00000000000001;44268
2;168;79;53.00000000000001;33714
3;168;86;43.00000000000001;28976
4;136;67;34;25134
5;128;66;31;21855
6;125;59;31;19042
7;111;54.00000000000001;23.999999999999993;16620
8;118;64;22.000000000000007;14531
9;94;48.99999999999999;20.000000000000004;12742
10;95;48;18.000000000000004;11223
11;94;46;20.000000000000004;9939
12;85;45.00000000000001;15;8830
13;89;45.99999999999999;17;7874
14;82;43;12.999999999999998;7060
15;91;51.00000000000001;12.999999999999998;6351
16;73;41.99999999999999;11.00000000000001;5742
17;79;42;13.999999999999998;5226
18;74;39.99999999999999;9.999999999999995;4771
19;76;43;9.999999999999995;4388
20;73;39.99999999999999;9.000000000000007;4051
21;72;40;8.000000000000007;3750
22;73;40.99999999999999;9.000000000000007;3471
23;71;41.99999999999999;8.000000000000007;3223
24;72;48;6.999999999999992;3005
25;68;39.00000000000001;8;2819
26;70;40.99999999999999;8.000000000000007;2660
27;70;38;7.000000000000006;2520
28;68;40.99999999999999;7.000000000000006;2396
29;70;40.99999999999999;7.000000000000006;2290
30;69;39.99999999999999;7.000000000000006;2194
31;72;40;7.000000000000006;2107
32;69;39.99999999999999;7.000000000000006;2031
33;74;46;6.999999999999992;1964
34;64;39;5.999999999999998;1905
35;67;39;8;1852
36;63;38;5.999999999999998;1801
37;64;39;5.999999999999998;1756
38;64;40;5.999999999999998;1712
39;65;39.00000000000001;5.999999999999998;1675
40;67;40;6.999999999999999;1639
41;66;39.99999999999999;5.000000000000004;1605
42;65;40;4.999999999999997;1572
43;70;40.99999999999999;6.000000000000005;1541
44;64;37.00000000000001;4.999999999999997;1512
45;67;41.99999999999999;5.000000000000004;1487
46;64;40;4.999999999999997;1463
47;66;40;6.999999999999999;1440
48;62;37;5.999999999999998;1418
49;64;38;4.999999999999997;1397
50;67;40.99999999999999;5.000000000000004;1377
51;66;39.00000000000001;4.999999999999997;1359
52;69;45;5.000000000000004;1341
53;64;39;4.999999999999997;1323
54;63;39;4.999999999999997;1305
55;63;39;5.999999999999998;1289
56;63;39;4.999999999999997;1275
57;69;41.99999999999999;6.000000000000005;1261
58;67;40.00000000000001;4.999999999999997;1248
59;60;38;6.999999999999999;1237
60;62;38;5.999999999999998;1227
61;64;40;4.999999999999997;1217
62;69;46;5.000000000000004;1207
63;64;39.00000000000001;5.999999999999998;1198
64;65;41;4.999999999999997;1190
65;60;36;5.000000000000004;1183
66;62;38;5.999999999999998;1176
67;64;41;4.999999999999997;1170
68;61;37;5.000000000000004;1164
69;67;42;4.999999999999997;1159
70;62;39;4.999999999999997;1154
71;64;39;5.999999999999998;1149
72;69;43;5.000000000000004;1144
73;61;37;5.000000000000004;1139
74;63;38;5.999999999999998;1134
75;63;38;4.999999999999997;1129
76;70;40;5.999999999999998;1125
77;70;39.99999999999999;5.000000000000004;1121
78;66;39.00000000000001;4.999999999999997;1117
79;63;39;4.999999999999997;1113
80;62;38;4.999999999999997;1109
81;68;40.99999999999999;6.000000000000005;1105
82;66;39.00000000000001;4.999999999999997;1101
83;59;34.99999999999999;5.000000000000004;1097
84;59;38;5.000000000000004;1093
85;63;39;4.999999999999997;1089
86;66;42;4.999999999999997;1085
87;64;39;4.999999999999997;1081
88;62;38;4.999999999999997;1077
89;66;39.00000000000001;4.999999999999997;1073
90;62;39;4.999999999999997;1069
91;65;39;8;1065
92;63;40;4.999999999999997;1061
93;63;41;4.999999999999997;1057
94;65;40;4.999999999999997;1053
95;61;39;4.999999999999997;1049
96;68;40.99999999999999;6.000000000000005;1045
97;64;39;4.999999999999997;1041
98;64;42;4.999999999999997;1037
99;63;39;4.999999999999997;1033
100;64;39;4.999999999999997;1029
101;68;43;5.000000000000004;1025
102;59;39;5.000000000000004;1022
103;62;39;5.000000000000004;1021
104;56;36.00000000000001;4.999999999999997;1020
105;58;36.00000000000001;4.999999999999997;1019
106;60;37;5.000000000000004;1018
107;57;37.00000000000001;4.999999999999997;1017
108;58;37.00000000000001;4.999999999999997;1016
109;55;36.00000000000001;4.999999999999997;1015
110;58;37;5.000000000000004;1014
111;66;44.00000000000001;5.999999999999998;1013
112;59;37;5.000000000000004;1012
113;63;38.00000000000001;4.999999999999997;1011
114;62;38;4.999999999999997;1010
115;64;39.00000000000001;4.999999999999997;1009
116;68;41.99999999999999;5.000000000000004;1008
117;63;37.00000000000001;4.999999999999997;1007
118;63;39;4.999999999999997;1006
119;64;39.00000000000001;4.999999999999997;1005
120;66;44;5.000000000000004;1004
121;65;40.99999999999999;5.000000000000004;1003
122;61;38;4.999999999999997;1002
123;63;39;4.999999999999997;1002
124;63;39;4.999999999999997;1002
125;63;39;4.999999999999997;1002
126;60;40;4.999999999999997;1002
127;58;36;5.000000000000004;1002
128;60;39;4.0000000000000036;1002
129;66;43;5.000000000000004;1002
130;64;39;4.999999999999997;1002
131;67;40.99999999999999;5.000000000000004;1002
132;64;40;4.999999999999997;1002
133;61;37;6.000000000000005;1002
134;62;38;4.999999999999997;1002
135;61;39;4.999999999999997;1002
136;65;40.99999999999999;5.000000000000004;1002
137;66;39;8;1002
138;68;40.99999999999999;5.000000000000004;1002
139;62;39;3.9999999999999964;1002
140;60;37;5.000000000000004;1002
141;65;41;4.999999999999997;1002
142;59;36;5.000000000000004;1002
143;66;41;4.999999999999997;1002
144;64;40;4.999999999999997;1002
145;66;38;6.999999999999999;1002
146;60;40.99999999999999;5.000000000000004;1002
147;62;39;4.999999999999997;1002
148;64;41;4.999999999999997;1002
149;67;41.99999999999999;6.000000000000005;1002
150;65;38;6.999999999999999;1002
151;59;34;5.000000000000004;1002
152;58;34.99999999999999;5.000000000000004;1002
153;60;34.99999999999999;5.000000000000004;1002
154;63;39;4.999999999999997;1002
155;59;34.99999999999999;5.000000000000004;1002
156;59;36;5.000000000000004;1002
157;62;38;4.999999999999997;1002
158;68;43;5.000000000000004;1002
159;61;39;4.999999999999997;1002
160;66;40.00000000000001;5.999999999999998;1002
161;64;44.00000000000001;4.999999999999997;1002
162;62;39;4.999999999999997;1002
163;63;41;4.999999999999997;1002
164;62;39;4.999999999999997;1002
165;63;38;5.999999999999998;1002
166;62;38;4.999999999999997;1002
167;63;38;4.999999999999997;1002
168;65;41;4.999999999999997;1002
169;64;40;4.999999999999997;1002
170;64;41;4.999999999999997;1002
171;64;39;4.999999999999997;1002
172;63;39;4.999999999999997;1002
173;67;41;5.999999999999998;1002
174;60;38;5.000000000000004;1002
175;61;39;5.999999999999998;1002
176;59;36;5.000000000000004;1002
177;58;39.99999999999999;5.000000000000004;1002
178;62;38;4.999999999999997;1002
179;56;36.00000000000001;4.999999999999997;1002
180;59;36;5.000000000000004;1002
181;59;38;4.0000000000000036;1002
182;62;39;4.999999999999997;1002
183;65;41;4.999999999999997;1002
184;63;39;4.999999999999997;1002
185;68;39;10.000000000000002;1002
186;60;37;5.000000000000004;1002
187;63;39;4.999999999999997;1002
188;61;39;4.999999999999997;1002
189;64;39;4.999999999999997;1002
190;64;42;4.999999999999997;1002
191;62;39;4.999999999999997;1002
192;63;40;3.9999999999999964;1002
193;65;40.00000000000001;4.999999999999997;1002
194;69;43;5.000000000000004;1002
195;67;40.99999999999999;5.000000000000004;1002
196;61;39;4.999999999999997;1002
197;60;36;5.000000000000004;1002
198;66;38.99999999999999;5.000000000000004;1002
199;60;37;5.000000000000004;1002
200;65;41;4.999999999999997;1002
201;62;38;4.999999999999997;1002
202;62;38;4.999999999999997;1002
203;72;49;5.000000000000004;1002
204;64;38.00000000000001;4.999999999999997;1002
205;62;39;6.999999999999999;1002
206;59;37;5.000000000000004;1002
207;61;36;5.000000000000004;1002
208;58;36.00000000000001;4.999999999999997;1002
209;58;37;5.000000000000004;1002
210;62;40;4.999999999999997;1002
211;65;40;4.999999999999997;1002
212;64;39;4.999999999999997;1002
213;66;41;4.999999999999997;1002
