tick;time;time_patch;time_drop;drops
0;345;209;133.00000000000003;44268
1;293;178;95.00000000000003;44268
2;174;110;52.00000000000001;33714
3;143;84.99999999999999;43.00000000000001;28976
4;128;84;35.99999999999999;25134
5;120;88;29.00000000000001;21855
6;95;59;30;19042
7;88;63;21.000000000000004;16620
8;90;67;19.99999999999999;14531
9;73;54;16.000000000000007;12742
10;71;52;16.000000000000007;11223
11;66;49;13.999999999999998;9939
12;65;47;13.999999999999998;8830
13;75;61;10.999999999999996;7874
14;67;49;13.999999999999998;7060
15;62;47;10.000000000000002;6351
16;56;44;9.000000000000002;5742
17;60;47;9.000000000000002;5226
18;56;45;9.000000000000002;4771
19;58;48;6.999999999999999;4388
20;55;41.99999999999999;8;4051
21;53;41;9.999999999999995;3750
22;60;46;8;3471
23;56;44;8;3223
24;55;43;6.999999999999999;3005
25;73;56;13.000000000000005;2819
26;63;54;5.999999999999998;2660
27;50;41;5.999999999999998;2520
28;55;41;6.999999999999999;2396
29;49;39;5.999999999999998;2290
30;56;45;5.999999999999998;2194
31;50;40;8;2107
32;46;38;5.999999999999998;2031
33;46;38;5.999999999999998;1964
34;53;44;5.000000000000004;1905
35;49;39;5.999999999999998;1852
36;47;38;6.999999999999999;1801
37;46;38;4.999999999999997;1756
38;48;40;5.999999999999998;1712
39;46;38;4.999999999999997;1675
40;46;38;5.999999999999998;1639
41;54;42;9.999999999999995;1605
42;63;52;8;1572
43;57;50;4.999999999999997;1541
44;51;43;6.000000000000005;1512
45;46;37;5.999999999999998;1487
46;45;37;5.000000000000004;1463
47;48;38;6.999999999999999;1440
48;46;39;4.999999999999997;1418
49;45;37;4.999999999999997;1397
50;45;38;5.999999999999998;1377
51;47;38;4.999999999999997;1359
52;48;41;4.999999999999997;1341
53;46;38;5.999999999999998;1323
54;48;40;4.999999999999997;1305
55;45;37;5.000000000000004;1289
56;48;39;4.999999999999997;1275
57;49;39;6.999999999999999;1261
58;45;38;4.999999999999997;1248
59;44;36;5.000000000000004;1237
60;45;37;4.999999999999997;1227
61;56;44;8;1217
62;50;43;5.000000000000004;1207
63;44;37;5.000000000000004;1198
64;48;39;5.999999999999998;1190
65;45;37;5.000000000000004;1183
66;46;38;4.999999999999997;1176
67;46;37;6.999999999999999;1170
68;45;38;4.999999999999997;1164
69;48;41;4.999999999999997;1159
70;44;37;5.000000000000004;1154
71;51;38;9.000000000000002;1149
72;45;39;4.999999999999997;1144
73;45;37;4.999999999999997;1139
74;50;43;5.000000000000004;1134
75;46;39;4.999999999999997;1129
76;46;38;4.999999999999997;1125
77;55;42;8;1121
78;64;53;8;1117
79;52;44;6.000000000000005;1113
80;47;38;6.999999999999999;1109
81;51;44;5.000000000000004;1105
82;46;38;4.999999999999997;1101
83;44;37;5.000000000000004;1097
84;47;39;3.9999999999999964;1093
85;50;42;5.999999999999998;1089
86;45;38;4.999999999999997;1085
87;49;42;4.999999999999997;1081
88;46;39;4.999999999999997;1077
89;44;37;5.000000000000004;1073
90;49;40;4.999999999999997;1069
91;49;42;4.999999999999997;1065
92;44;37;5.000000000000004;1061
93;47;39;3.9999999999999964;1057
94;48;39;4.999999999999997;1053
95;45;37;4.999999999999997;1049
96;45;38;4.999999999999997;1045
97;48;40;4.999999999999997;1041
98;45;37;4.999999999999997;1037
99;45;38;4.999999999999997;1033
100;48;38;5.999999999999998;1029
101;51;43;5.000000000000004;1025
102;49;39;4.999999999999997;1022
103;44;38;4.999999999999997;1021
104;47;38;4.999999999999997;1020
105;44;38;4.999999999999997;1019
106;45;38;4.999999999999997;1018
107;46;40;4.999999999999997;1017
108;45;38;4.999999999999997;1016
109;45;38;5.999999999999998;1015
110;49;41;5.999999999999998;1014
111;49;43;5.000000000000004;1013
112;45;39;4.999999999999997;1012
113;44;38;4.999999999999997;1011
114;46;38;4.999999999999997;1010
115;44;37;5.000000000000004;1009
116;45;38;4.999999999999997;1008
117;48;40;5.999999999999998;1007
118;45;38;4.999999999999997;1006
119;46;39;4.999999999999997;1005
120;46;38;5.999999999999998;1004
121;51;43;5.000000000000004;1003
122;45;38;4.999999999999997;1002
123;45;39;3.9999999999999964;1002
124;47;38;4.999999999999997;1002
125;45;38;4.999999999999997;1002
126;47;38;4.999999999999997;1002
127;50;43;5.000000000000004;1002
128;46;38;5.999999999999998;1002
129;45;38;4.999999999999997;1002
130;47;38;4.999999999999997;1002
131;50;38;9.000000000000002;1002
132;45;39;4.999999999999997;1002
133;45;38;4.999999999999997;1002
134;48;41;5.999999999999998;1002
135;48;40;5.999999999999998;1002
136;46;39;4.999999999999997;1002
137;48;40;5.999999999999998;1002
138;45;38;5.999999999999998;1002
139;45;39;4.999999999999997;1002
140;45;38;5.999999999999998;1002
141;48;39;5.999999999999998;1002
142;51;44;5.000000000000004;1002
143;46;38;4.999999999999997;1002
144;51;41;5.999999999999998;1002
145;46;39;4.999999999999997;1002
146;44;37;5.000000000000004;1002
147;48;39;6.999999999999999;1002
148;46;39;4.999999999999997;1002
149;45;38;4.999999999999997;1002
150;49;41;5.999999999999998;1002
151;48;39;5.999999999999998;1002
152;54;47;4.999999999999997;1002
153;47;40;4.999999999999997;1002
154;55;48;4.999999999999997;1002
155;63;53;8;1002
156;49;42;4.999999999999997;1002
157;51;39.99999999999999;6.000000000000005;1002
158;44;38;4.999999999999997;1002
159;49;40;4.999999999999997;1002
160;70;58;8;1002
161;59;48;8;1002
162;58;49;5.999999999999998;1002
163;55;44;5.999999999999998;1002
164;51;41.99999999999999;6.000000000000005;1002
165;52;43;6.000000000000005;1002
166;51;40.99999999999999;6.000000000000005;1002
167;54;46;4.999999999999997;1002
168;48;40;5.999999999999998;1002
169;53;45;5.999999999999998;1002
170;46;39;5.999999999999998;1002
171;44;37;5.000000000000004;1002
172;47;38;5.999999999999998;1002
173;49;41;4.999999999999997;1002
174;44;37;4.999999999999997;1002
175;46;38;5.999999999999998;1002
176;48;37.00000000000001;4.999999999999997;1002
177;45;37;4.999999999999997;1002
178;44;38;4.0000000000000036;1002
179;47;40;4.999999999999997;1002
180;44;37;5.000000000000004;1002
181;45;38;4.999999999999997;1002
182;44;37;5.000000000000004;1002
183;52;39;9.000000000000002;1002
184;45;39;4.999999999999997;1002
185;45;38;4.999999999999997;1002
186;47;39;4.999999999999997;1002
187;44;37;5.000000000000004;1002
188;45;38;4.999999999999997;1002
189;47;38;5.999999999999998;1002
190;45;39;4.999999999999997;1002
