tick;time;time_patch;time_drop;drops
0;135;77;58.00000000000001;44268
1;121;62;59;44268
2;130;65;65;43922
3;156;87;68;43605
4;130;57;73.00000000000001;43295
5;131;58;73.00000000000001;43005
6;143;61;80.99999999999999;42724
7;155;59;95;42462
8;146;58;87;42197
9;151;57.99999999999999;89;41949
10;166;65;99;41721
11;161;61;95;41499
12;173;67;104.00000000000001;41294
13;178;66;109.99999999999999;41097
14;176;64;108.99999999999999;40905
15;186;65;119;40718
16;181;66;112.99999999999999;40540
17;187;66;119;40369
18;192;74;117;40210
19;191;67;122;40070
20;202;70;127;39924
21;197;65;127;39782
22;206;67;137.99999999999997;39640
23;200;66;133;39501
24;214;78;134;39366
25;208;66;137;39227
26;214;76;136;39092
27;218;71;145.00000000000003;38954
28;215;67;139.99999999999997;38822
29;223;69.99999999999999;150.00000000000003;38698
30;216;67;146;38576
31;222;69;151;38467
32;220;71;147.00000000000003;38355
33;226;76;145.00000000000003;38239
34;226;68;156;38118
35;220;68;150;37996
36;232;73;158.00000000000003;37870
37;224;74;148.00000000000003;37743
38;237;79;153.00000000000003;37615
39;230;69;159;37488
40;223;65;156;37360
41;235;77;156.00000000000003;37234
42;227;70;156;37112
43;233;76;154.00000000000003;36995
44;240;72;165.99999999999997;36886
45;229;73;154.00000000000003;36779
46;240;74;163.99999999999997;36682
47;238;69;164;36589
48;237;74;160.99999999999997;36500
49;242;75;159.99999999999997;36412
50;246;75;168.99999999999997;36330
51;239;74;160.99999999999997;36257
52;245;77;165.99999999999997;36187
53;239;74;162.99999999999997;36117
54;243;79;161.99999999999997;36061
55;249;79;164.99999999999997;36010
56;240;73;163.99999999999997;35965
57;249;80;162.99999999999997;35926
58;247;76;168.99999999999997;35892
59;242;74;165.99999999999997;35864
60;245;81;161.99999999999997;35843
61;245;75;167.99999999999997;35825
62;241;71;164.99999999999997;35807
63;250;81;166.99999999999997;35793
64;244;74;168.99999999999997;35781
65;237;69;165.99999999999997;35773
66;247;76;168.99999999999997;35766
67;250;76;172;35764
68;240;73;161.99999999999997;35763
69;253;84;163.99999999999997;35763
70;249;76;170.99999999999997;35763
71;247;74;165.99999999999997;35763
72;266;83;182;35763
