tick;time;drops
0;167;44268
1;198;44268
2;165;33714
3;140;28976
4;128;25134
5;114;21855
6;127;19042
7;109;16620
8;105;14531
9;100;12742
10;93;11223
11;93;9939
12;90;8830
13;86;7874
14;77;7060
15;79;6351
16;76;5742
17;71;5226
18;75;4771
19;74;4388
20;66;4051
21;68;3750
22;64;3471
23;65;3223
24;67;3005
25;62;2819
26;63;2660
27;67;2520
28;61;2396
29;66;2290
30;61;2194
31;67;2107
32;69;2031
33;62;1964
34;58;1905
35;62;1852
36;71;1801
37;73;1756
38;66;1712
39;61;1675
40;62;1639
41;60;1605
42;60;1572
43;61;1541
44;58;1512
45;58;1487
46;62;1463
47;65;1440
48;58;1418
49;59;1397
50;63;1377
51;58;1359
52;62;1341
53;58;1323
54;59;1305
55;61;1289
56;59;1275
57;62;1261
58;68;1248
59;59;1237
60;60;1227
61;61;1217
62;57;1207
63;59;1198
64;61;1190
65;57;1183
66;59;1176
67;61;1170
68;62;1164
69;63;1159
70;61;1154
71;61;1149
72;60;1144
73;65;1139
74;63;1134
75;61;1129
76;62;1125
77;58;1121
78;62;1117
79;60;1113
80;57;1109
81;58;1105
82;61;1101
83;57;1097
84;56;1093
85;60;1089
86;58;1085
87;57;1081
88;64;1077
89;60;1073
90;59;1069
91;61;1065
92;59;1061
93;57;1057
94;60;1053
95;57;1049
96;57;1045
97;63;1041
98;59;1037
99;58;1033
100;64;1029
101;58;1025
102;61;1022
103;67;1021
104;56;1020
105;60;1019
106;64;1018
107;58;1017
108;61;1016
109;63;1015
110;59;1014
111;59;1013
112;63;1012
113;57;1011
114;62;1010
115;65;1009
116;62;1008
117;57;1007
118;59;1006
119;57;1005
120;57;1004
121;57;1003
122;58;1002
123;57;1002
124;62;1002
125;59;1002
126;59;1002
127;61;1002
128;63;1002
129;60;1002
130;61;1002
131;57;1002
132;60;1002
133;60;1002
134;58;1002
135;56;1002
136;60;1002
137;57;1002
138;57;1002
139;61;1002
140;59;1002
141;55;1002
142;60;1002
143;57;1002
144;56;1002
145;59;1002
146;56;1002
147;56;1002
148;65;1002
149;59;1002
150;61;1002
151;60;1002
152;55;1002
153;62;1002
154;60;1002
155;60;1002
156;57;1002
157;61;1002
158;56;1002
159;57;1002
160;62;1002
161;57;1002
162;59;1002
163;66;1002
164;57;1002
165;57;1002
166;58;1002
167;56;1002
168;56;1002
169;57;1002
170;59;1002
171;56;1002
172;55;1002
173;56;1002
174;56;1002
175;58;1002
176;60;1002
177;62;1002
178;61;1002
179;61;1002
180;58;1002
181;58;1002
182;60;1002
183;64;1002
184;57;1002
185;59;1002
186;57;1002
187;61;1002
188;60;1002
189;58;1002
190;60;1002
191;61;1002
192;59;1002
193;59;1002
194;60;1002
195;59;1002
196;65;1002
197;63;1002
198;57;1002
199;57;1002
200;58;1002
201;56;1002
202;60;1002
203;60;1002
204;54;1002
205;56;1002
206;61;1002
207;55;1002
208;68;1002
209;60;1002
210;59;1002
211;63;1002
212;63;1002
213;61;1002
214;62;1002
215;59;1002
216;56;1002
217;58;1002
218;61;1002
219;56;1002
220;61;1002
221;59;1002
222;55;1002
223;58;1002
224;61;1002
225;60;1002
226;58;1002
227;62;1002
228;64;1002
229;58;1002
230;60;1002
231;58;1002
232;61;1002
233;59;1002
234;59;1002
235;61;1002
236;63;1002
237;59;1002
238;60;1002
239;61;1002
240;57;1002
241;67;1002
242;65;1002
243;62;1002
244;64;1002
245;62;1002
246;66;1002
247;58;1002
248;64;1002
249;59;1002
250;67;1002
251;65;1002
252;63;1002
253;64;1002
254;59;1002
255;60;1002
256;63;1002
257;57;1002
258;59;1002
259;60;1002
260;57;1002
261;62;1002
262;61;1002
263;56;1002
264;59;1002
265;60;1002
266;55;1002
267;57;1002
268;59;1002
269;57;1002
270;57;1002
271;57;1002
272;59;1002
273;57;1002
274;61;1002
275;60;1002
276;56;1002
277;58;1002
278;60;1002
279;58;1002
280;60;1002
281;62;1002
282;57;1002
283;57;1002
284;59;1002
285;56;1002
286;63;1002
287;60;1002
288;56;1002
289;56;1002
290;60;1002
291;59;1002
292;66;1002
293;65;1002
294;61;1002
295;58;1002
296;58;1002
297;57;1002
298;60;1002
299;66;1002
300;61;1002
