tick;time;drops
0;293;44268
1;254;44268
2;240;43922
3;242;43605
4;256;43295
5;148;43005
6;168;42724
7;206;42462
8;228;42197
9;185;41949
10;193;41721
11;218;41499
12;206;41294
13;214;41097
14;258;40905
15;227;40718
16;201;40540
17;212;40369
18;210;40210
19;219;40070
20;218;39924
21;220;39782
22;221;39640
23;219;39501
24;227;39366
25;226;39227
26;229;39092
27;239;38954
28;228;38822
29;234;38698
30;238;38576
31;226;38467
32;268;38355
33;244;38239
34;234;38118
35;243;37996
36;255;37870
37;235;37743
38;251;37615
39;243;37488
40;241;37360
41;246;37234
42;249;37112
43;245;36995
44;249;36886
45;252;36779
46;260;36682
47;250;36589
48;254;36500
49;260;36412
50;247;36330
51;257;36257
52;251;36187
53;255;36117
54;256;36061
55;261;36010
56;252;35965
57;260;35926
58;266;35892
59;263;35864
60;256;35843
61;264;35825
62;261;35807
63;263;35793
64;263;35781
65;271;35773
66;268;35766
67;260;35764
68;267;35763
69;261;35763
70;260;35763
71;260;35763
72;267;35763
73;261;35763
74;257;35763
75;262;35763
76;267;35763
77;273;35763
78;266;35763
79;270;35763
80;269;35763
81;262;35763
82;269;35763
83;274;35763
84;275;35763
85;266;35763
86;282;35763
87;270;35763
88;271;35763
89;273;35763
90;274;35763
91;270;35763
92;271;35763
93;276;35763
94;281;35763
95;276;35763
96;271;35763
97;280;35763
98;280;35763
99;274;35763
100;264;35763
101;276;35763
102;276;35763
103;274;35763
104;270;35763
105;279;35763
106;276;35763
107;272;35763
108;268;35763
109;280;35763
110;277;35763
111;271;35763
112;269;35763
113;274;35763
114;274;35763
115;272;35763
116;267;35763
117;273;35763
118;273;35763
119;274;35763
120;270;35763
121;275;35763
122;277;35763
123;276;35763
124;275;35763
125;275;35763
126;274;35763
127;272;35763
128;271;35763
129;278;35763
130;276;35763
131;278;35763
132;274;35763
133;277;35763
134;274;35763
135;277;35763
136;271;35763
137;285;35763
138;278;35763
139;277;35763
140;273;35763
141;276;35763
142;278;35763
143;275;35763
144;273;35763
145;278;35763
146;279;35763
147;282;35763
148;271;35763
149;282;35763
150;273;35763
151;285;35763
152;271;35763
153;281;35763
154;281;35763
155;278;35763
156;274;35763
157;281;35763
158;278;35763
159;272;35763
160;286;35763
161;285;35763
162;319;35763
163;299;35763
164;268;35763
165;283;35763
166;273;35763
167;277;35763
168;275;35763
169;277;35763
170;277;35763
171;270;35763
172;280;35763
173;284;35763
174;274;35763
175;273;35763
176;273;35763
177;282;35763
178;280;35763
179;272;35763
180;282;35763
181;284;35763
182;280;35763
183;278;35763
184;281;35763
185;286;35763
186;280;35763
187;271;35763
188;281;35763
189;284;35763
190;285;35763
191;277;35763
192;286;35763
193;322;35763
194;304;35763
195;279;35763
196;275;35763
197;295;35763
198;279;35763
199;277;35763
200;275;35763
