tick;time;drops
0;120;44268
1;168;44268
2;175;43922
3;188;43605
4;156;43295
5;159;43005
6;164;42724
7;178;42462
8;174;42197
9;178;41949
10;188;41721
11;197;41499
12;203;41294
13;199;41097
14;214;40905
15;202;40718
16;205;40540
17;211;40369
18;215;40210
19;218;40070
20;223;39924
21;221;39782
22;233;39640
23;227;39501
24;233;39366
25;226;39227
26;244;39092
27;243;38954
28;235;38822
29;238;38698
30;235;38576
31;244;38467
32;245;38355
33;238;38239
34;247;38118
35;238;37996
36;251;37870
37;252;37743
38;241;37615
39;253;37488
40;255;37360
41;249;37234
42;254;37112
43;255;36995
44;248;36886
45;255;36779
46;250;36682
47;252;36589
48;258;36500
49;257;36412
50;254;36330
51;267;36257
52;260;36187
53;252;36117
54;265;36061
55;264;36010
56;250;35965
57;261;35926
58;258;35892
59;262;35864
60;252;35843
61;270;35825
62;264;35807
63;261;35793
64;267;35781
65;262;35773
66;253;35766
67;263;35764
68;263;35763
69;263;35763
70;259;35763
71;268;35763
72;265;35763
73;262;35763
74;270;35763
75;265;35763
76;262;35763
77;261;35763
78;270;35763
79;264;35763
80;262;35763
81;266;35763
82;269;35763
83;270;35763
84;265;35763
85;271;35763
86;271;35763
87;270;35763
88;270;35763
89;270;35763
90;272;35763
91;265;35763
92;272;35763
93;279;35763
94;271;35763
95;270;35763
96;276;35763
97;279;35763
98;274;35763
99;269;35763
100;277;35763
101;284;35763
102;275;35763
103;266;35763
104;273;35763
105;275;35763
106;276;35763
107;271;35763
108;275;35763
109;275;35763
110;276;35763
111;267;35763
112;285;35763
113;277;35763
114;272;35763
115;273;35763
116;272;35763
117;276;35763
118;275;35763
119;275;35763
120;271;35763
121;282;35763
122;277;35763
123;271;35763
124;275;35763
125;279;35763
126;269;35763
127;269;35763
128;275;35763
129;277;35763
130;269;35763
131;267;35763
132;272;35763
133;272;35763
134;279;35763
135;276;35763
136;276;35763
137;280;35763
138;282;35763
139;273;35763
140;276;35763
141;274;35763
142;274;35763
143;267;35763
144;279;35763
145;278;35763
146;273;35763
147;270;35763
148;291;35763
149;275;35763
150;284;35763
151;271;35763
152;283;35763
153;273;35763
154;274;35763
155;279;35763
156;280;35763
157;278;35763
158;279;35763
159;273;35763
160;286;35763
161;278;35763
162;282;35763
163;264;35763
164;282;35763
165;277;35763
166;278;35763
167;274;35763
168;278;35763
169;274;35763
170;278;35763
171;267;35763
172;280;35763
173;276;35763
174;266;35763
175;273;35763
176;277;35763
177;272;35763
178;272;35763
179;275;35763
180;276;35763
181;273;35763
182;268;35763
183;277;35763
184;279;35763
185;273;35763
186;272;35763
187;273;35763
188;279;35763
189;271;35763
190;273;35763
191;276;35763
192;275;35763
193;276;35763
194;269;35763
195;274;35763
196;273;35763
197;277;35763
198;271;35763
199;274;35763
200;278;35763
201;272;35763
202;266;35763
203;277;35763
204;280;35763
205;276;35763
206;268;35763
207;277;35763
208;281;35763
209;272;35763
210;273;35763
211;274;35763
212;280;35763
213;278;35763
214;271;35763
215;277;35763
216;278;35763
217;274;35763
218;267;35763
219;278;35763
220;277;35763
221;275;35763
222;271;35763
223;277;35763
224;279;35763
225;272;35763
226;269;35763
227;272;35763
228;280;35763
229;280;35763
230;266;35763
231;276;35763
232;279;35763
233;282;35763
234;270;35763
235;278;35763
236;282;35763
237;276;35763
238;272;35763
239;281;35763
240;280;35763
241;279;35763
242;270;35763
243;284;35763
244;280;35763
245;282;35763
246;277;35763
247;276;35763
248;280;35763
249;278;35763
250;273;35763
251;282;35763
252;277;35763
253;278;35763
254;275;35763
255;275;35763
256;283;35763
257;278;35763
258;275;35763
259;277;35763
260;282;35763
261;282;35763
262;275;35763
263;281;35763
264;289;35763
265;279;35763
266;271;35763
267;276;35763
268;285;35763
269;275;35763
270;272;35763
271;283;35763
272;284;35763
273;277;35763
274;273;35763
275;276;35763
276;279;35763
277;273;35763
278;278;35763
279;278;35763
280;284;35763
281;274;35763
282;281;35763
283;277;35763
284;289;35763
285;277;35763
286;275;35763
287;276;35763
288;279;35763
289;275;35763
290;271;35763
291;277;35763
292;275;35763
293;278;35763
294;273;35763
295;281;35763
296;280;35763
297;271;35763
298;274;35763
299;280;35763
300;284;35763
