tick;time;drops
0;574;164687
1;804;164679
2;585;112299
3;496;87485
4;383;70139
5;339;57295
6;295;47568
7;289;39992
8;241;34012
9;257;29204
10;227;25321
11;237;22114
12;207;19482
13;219;17298
14;193;15440
15;208;13850
16;189;12473
17;201;11309
18;188;10308
19;200;9462
20;183;8738
21;177;8108
22;190;7560
23;172;7071
24;175;6639
25;171;6255
26;166;5908
27;181;5587
28;165;5304
29;173;5048
30;162;4818
31;167;4609
32;179;4416
33;168;4245
34;167;4086
35;160;3940
36;158;3806
37;179;3680
38;156;3565
39;174;3457
40;155;3363
41;147;3276
42;170;3195
43;159;3123
44;158;3055
45;164;2991
46;160;2935
47;160;2880
48;157;2827
49;157;2777
50;167;2731
51;164;2689
52;161;2651
53;156;2613
54;155;2576
55;153;2541
56;166;2508
57;155;2478
58;156;2450
59;153;2424
60;156;2398
61;166;2374
62;159;2351
63;151;2329
64;160;2307
65;158;2286
66;153;2265
67;165;2246
68;160;2227
69;157;2208
70;159;2190
71;153;2173
72;154;2157
73;159;2141
74;147;2125
75;150;2109
76;154;2093
77;149;2077
78;150;2063
79;152;2049
80;148;2035
81;163;2021
82;159;2008
83;144;1996
84;143;1985
85;151;1974
86;139;1964
87;147;1955
88;148;1946
89;141;1938
90;140;1930
91;143;1923
92;149;1916
93;141;1909
94;143;1902
95;150;1895
96;146;1888
97;143;1882
98;142;1877
99;140;1872
100;150;1868
101;140;1864
102;144;1860
103;143;1856
104;139;1852
105;142;1848
106;149;1844
107;139;1840
108;140;1836
109;151;1833
110;139;1830
111;141;1827
112;148;1824
113;139;1821
114;143;1818
115;148;1815
116;142;1812
117;144;1809
118;135;1807
119;137;1805
120;144;1803
121;143;1801
122;146;1799
123;139;1797
124;144;1796
125;143;1795
126;143;1794
127;138;1793
128;147;1792
129;147;1791
130;136;1790
131;151;1789
132;146;1789
133;134;1789
134;143;1789
135;147;1789
136;140;1789
137;155;1789
138;145;1789
139;142;1789
140;149;1789
141;135;1789
142;143;1789
143;143;1789
144;146;1789
145;143;1789
146;142;1789
147;150;1789
148;144;1789
149;137;1789
150;142;1789
151;155;1789
152;152;1789
153;152;1789
154;146;1789
155;152;1789
156;155;1789
157;159;1789
158;146;1789
159;158;1789
160;155;1789
161;160;1789
162;154;1789
163;142;1789
164;153;1789
165;156;1789
166;156;1789
167;144;1789
168;144;1789
169;153;1789
170;147;1789
171;148;1789
172;147;1789
173;148;1789
174;148;1789
175;150;1789
176;144;1789
177;149;1789
178;153;1789
179;151;1789
180;147;1789
181;153;1789
182;154;1789
183;155;1789
184;151;1789
185;148;1789
186;149;1789
187;148;1789
188;154;1789
189;143;1789
190;148;1789
191;153;1789
192;151;1789
193;149;1789
194;165;1789
195;155;1789
196;150;1789
197;159;1789
198;148;1789
199;143;1789
200;149;1789
