tick;time;time_patch;time_drop;drops
0;518;302;215.00000000000003;164687
1;641;374;264;164679
2;471;304;164.99999999999997;112299
3;404;272;129;87485
4;353;251;99.99999999999997;70139
5;289;202;84.99999999999997;57295
6;291;220;70.99999999999999;47568
7;244;183;60;39992
8;254;202;51.99999999999999;34012
9;214;159;50.99999999999999;29204
10;230;188;40.00000000000001;25321
11;204;161;36.00000000000001;22114
12;210;174;31;19482
13;179;145;28.999999999999996;17298
14;197;167;24.999999999999993;15440
15;168;140;23.999999999999993;13850
16;184;160;21.999999999999993;12473
17;161;138;20.99999999999999;11309
18;160;135;19.99999999999999;10308
19;168;147;19.000000000000018;9462
20;151;131;18.99999999999999;8738
21;162;142;17.000000000000014;8108
22;145;127;16.999999999999986;7560
23;158;127;14.999999999999986;7071
24;145;127;15.999999999999986;6639
25;149;131;14.999999999999986;6255
26;151;136;13.999999999999984;5908
27;147;125;16.999999999999986;5587
28;153;134;12.999999999999984;5304
29;146;127;12.999999999999984;5048
30;144;130;12.999999999999984;4818
31;153;134;11.999999999999982;4609
32;147;129;11.999999999999982;4416
33;150;132;12.999999999999984;4245
34;143;125;12.00000000000001;4086
35;138;124;12.00000000000001;3940
36;158;144;12.00000000000001;3806
37;137;124;12.00000000000001;3680
38;148;130;11.999999999999982;3565
39;136;120;12.00000000000001;3457
40;139;122;11.00000000000001;3363
41;147;134;10.999999999999982;3276
42;138;125;11.00000000000001;3195
43;144;131;10.999999999999982;3123
44;135;120;11.00000000000001;3055
45;138;121;11.00000000000001;2991
46;142;130;10.999999999999982;2935
47;135;123;10.000000000000009;2880
48;144;127;12.00000000000001;2827
49;132;120;10.000000000000009;2777
50;139;124;10.000000000000009;2731
51;142;130;10.000000000000009;2689
52;138;122;12.00000000000001;2651
53;136;123;10.000000000000009;2613
54;134;119;10.000000000000009;2576
55;137;125;10.000000000000009;2541
56;146;134;9.99999999999998;2508
57;137;121;11.00000000000001;2478
58;133;120;10.000000000000009;2450
59;140;126;10.000000000000009;2424
60;135;124;10.000000000000009;2398
61;140;122;16.000000000000014;2374
62;135;121;11.00000000000001;2351
63;136;124;10.000000000000009;2329
64;141;130;10.000000000000009;2307
65;135;124;9.000000000000007;2286
66;134;121;11.00000000000001;2265
67;137;126;10.000000000000009;2246
68;133;120;10.000000000000009;2227
69;134;123;10.000000000000009;2208
70;139;128;9.000000000000007;2190
71;132;119;10.000000000000009;2173
72;138;119;16.000000000000014;2157
73;138;126;10.000000000000009;2141
74;137;125;10.000000000000009;2125
75;140;129;10.000000000000009;2109
76;131;118;10.000000000000009;2093
77;136;122;10.000000000000009;2077
78;142;130;10.000000000000009;2063
79;151;140;8.99999999999998;2049
80;133;119;11.00000000000001;2035
81;137;124;10.000000000000009;2021
82;134;119;9.000000000000007;2008
83;134;122;10.000000000000009;1996
84;142;130;9.99999999999998;1985
85;130;118;10.000000000000009;1974
86;139;118;15.000000000000014;1964
87;135;124;9.000000000000007;1955
88;134;122;10.000000000000009;1946
89;137;125;9.000000000000007;1938
90;131;118;9.000000000000007;1930
91;132;121;9.000000000000007;1923
92;140;129;9.000000000000007;1916
93;131;118;10.000000000000009;1909
94;129;118;9.000000000000007;1902
95;141;130;9.000000000000007;1895
96;134;121;10.000000000000009;1888
97;136;119;12.00000000000001;1882
98;138;123;9.000000000000007;1877
99;133;122;10.000000000000009;1872
100;134;123;10.000000000000009;1868
101;144;129;9.000000000000007;1864
102;131;120;9.000000000000007;1860
103;133;118;9.000000000000007;1856
104;141;130;9.000000000000007;1852
105;135;124;9.000000000000007;1848
106;138;119;15.000000000000014;1844
107;129;117;9.000000000000007;1840
108;132;121;9.000000000000007;1836
109;142;128;10.000000000000009;1833
110;134;121;9.000000000000007;1830
111;130;118;9.000000000000007;1827
112;143;130;10.999999999999982;1824
113;134;122;10.000000000000009;1821
114;131;118;9.000000000000007;1818
115;137;125;9.000000000000007;1815
116;133;122;9.000000000000007;1812
117;132;121;10.000000000000009;1809
118;134;123;9.000000000000007;1807
119;134;119;10.000000000000009;1805
120;133;122;9.000000000000007;1803
121;142;128;10.000000000000009;1801
122;130;119;9.000000000000007;1799
123;132;118;9.000000000000007;1797
124;139;128;10.000000000000009;1796
125;131;120;10.000000000000009;1795
126;129;118;10.000000000000009;1794
127;137;127;9.000000000000007;1793
128;134;123;9.000000000000007;1792
129;133;121;11.00000000000001;1791
130;139;124;9.000000000000007;1790
131;135;124;10.000000000000009;1789
132;135;124;9.000000000000007;1789
133;139;128;10.000000000000009;1789
134;130;119;9.000000000000007;1789
135;132;121;10.000000000000009;1789
136;141;130;9.000000000000007;1789
137;130;117;8.999999999999995;1789
