tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;218;105;113;44268;16;43;24;14;15;0;67
1;847;65;633;44268;11;27;15;12;22;552;27
2;266;47;158;33714;9;19;9;9;17;95;22
3;235;63;130;28976;10;29;10;7;13;79;18
4;247;49;157;25134;10;20;8;7;52;75;15
5;182;47;96;21855;9;19;8;6;8;62;13
6;167;46;82;19042;10;17;8;5;6;53;11
7;179;47;79;16620;10;18;8;5;6;50;12
8;147;44;66;14531;9;16;7;4;5;41;10
9;132;42;52;12742;9;15;8;3;4;31;8
10;131;41;49;11223;9;15;7;3;4;28;8
11;123;43;43;9939;9;16;7;3;3;25;7
12;119;40;42;8830;9;14;6;2;3;26;6
13;115;40;38;7874;9;14;7;2;3;24;5
14;111;40;34;7060;9;14;7;2;2;22;4
15;110;39;34;6351;9;13;6;1;2;22;4
16;106;39;31;5742;9;13;6;1;2;20;4
17;106;37;34;5226;9;13;6;1;2;23;4
18;99;37;26;4771;8;13;6;1;2;16;3
19;108;52;20;4388;10;22;10;1;2;9;4
20;103;47;19;4051;9;18;9;1;2;10;3
21;130;70;23;3750;9;13;38;1;1;15;3
22;93;36;23;3471;8;12;6;1;1;16;2
23;93;36;22;3223;8;12;6;1;1;15;2
24;96;38;23;3005;9;13;6;1;1;17;2
25;96;36;24;2819;8;12;6;0;1;18;2
26;96;39;19;2660;9;13;6;0;1;15;1
27;94;38;21;2520;9;13;6;0;1;16;1
28;94;37;23;2396;9;13;6;0;0;18;1
29;92;40;18;2290;10;14;6;0;1;14;1
30;89;37;18;2194;9;13;6;0;1;13;1
31;94;39;20;2107;9;13;6;0;0;17;1
32;99;43;21;2031;10;15;7;0;0;18;1
33;96;38;25;1964;9;13;6;0;0;21;1
34;94;40;20;1905;10;14;6;0;0;16;1
35;87;35;18;1852;8;12;6;0;0;14;1
36;96;39;19;1801;9;13;6;0;0;15;1
37;91;37;20;1756;8;12;6;0;0;17;1
38;90;37;18;1712;8;12;6;0;0;14;1
39;86;36;16;1675;8;12;6;0;0;13;1
40;95;42;17;1639;10;15;7;0;0;14;1
41;102;53;16;1605;9;13;22;0;0;13;0
42;91;36;20;1572;8;12;6;0;0;17;1
43;90;40;16;1541;10;13;6;0;0;13;0
44;89;37;17;1512;9;13;6;0;0;14;1
45;92;37;21;1487;8;12;6;0;1;17;1
46;91;40;15;1463;9;14;7;0;0;12;0
47;90;38;17;1440;9;13;6;0;0;13;1
48;91;39;18;1418;10;13;6;0;0;15;0
49;89;38;16;1397;9;13;6;0;0;13;1
50;88;35;16;1377;8;12;6;0;0;13;0
51;86;36;17;1359;8;12;6;0;0;14;0
52;91;39;16;1341;9;13;7;0;0;13;0
53;86;38;16;1323;9;13;6;0;0;13;0
54;92;39;16;1305;9;13;7;0;0;13;0
55;84;38;14;1289;9;13;6;0;0;11;0
56;100;40;22;1275;10;14;6;0;0;19;0
57;91;37;21;1261;8;12;6;0;0;18;1
58;88;41;14;1248;10;14;6;0;0;11;0
59;87;36;18;1237;8;12;6;0;0;15;0
60;95;42;20;1227;10;15;6;0;0;17;0
61;89;36;20;1217;8;12;6;0;0;17;1
62;91;41;15;1207;9;15;7;0;0;12;0
63;91;45;11;1198;10;18;8;0;0;8;0
64;89;46;8;1190;9;18;9;0;0;5;0
65;91;44;12;1183;9;17;8;0;0;9;0
66;90;46;10;1176;10;18;9;0;0;7;0
67;90;45;11;1170;9;18;8;0;0;8;0
68;105;54;19;1164;10;27;6;0;0;17;0
69;89;40;15;1159;10;14;7;0;0;12;0
70;85;36;16;1154;8;12;6;0;0;13;0
71;85;35;17;1149;8;12;6;0;0;14;0
72;88;40;15;1144;10;14;6;0;0;12;0
73;87;35;20;1139;8;12;6;0;0;17;0
74;97;44;17;1134;10;16;7;0;0;14;0
75;89;37;17;1129;9;13;6;0;0;14;0
76;88;37;17;1125;9;13;6;0;0;14;0
77;86;38;15;1121;9;12;6;0;0;12;0
78;98;40;20;1117;9;14;7;0;0;17;0
79;92;40;21;1113;10;14;6;0;0;18;0
80;90;39;18;1109;9;14;6;0;0;15;0
81;87;38;15;1105;9;13;6;0;0;13;0
82;85;37;16;1101;9;12;6;0;0;14;0
83;85;35;17;1097;9;12;6;0;0;14;0
84;91;38;18;1093;9;13;6;0;0;15;0
85;87;37;16;1089;9;13;6;0;0;14;0
86;88;37;19;1085;9;13;6;0;0;16;0
87;86;37;14;1081;9;13;6;0;0;11;0
88;88;38;16;1077;9;13;6;0;0;13;0
89;87;40;13;1073;9;14;6;0;0;11;0
90;104;40;31;1069;9;14;6;0;0;28;0
91;97;39;18;1065;9;13;7;0;0;16;0
92;92;40;19;1061;9;14;6;0;0;16;0
93;92;40;18;1057;9;14;6;0;0;15;0
94;89;38;17;1053;8;13;6;0;0;15;0
95;114;41;18;1049;9;15;7;0;0;16;0
96;93;44;16;1045;10;15;7;0;0;14;0
97;90;38;17;1041;9;13;6;0;0;15;0
98;87;39;15;1037;9;13;6;0;0;12;0
99;86;39;15;1033;10;14;6;0;0;12;0
100;89;38;18;1029;9;13;6;0;0;14;0
101;89;36;16;1025;9;12;6;0;0;13;0
102;92;42;18;1022;10;15;7;0;0;15;0
103;87;37;17;1021;9;13;6;0;0;15;0
104;97;43;17;1020;10;16;7;0;0;14;0
105;88;37;18;1019;9;12;6;0;0;15;0
106;90;39;18;1018;9;13;6;0;0;15;0
107;87;40;15;1017;10;14;6;0;0;13;0
108;87;38;16;1016;9;13;6;0;0;13;0
109;85;35;18;1015;8;11;6;0;0;16;0
110;92;39;16;1014;9;13;6;0;0;14;0
111;86;38;15;1013;9;13;6;0;0;12;0
112;94;41;18;1012;10;14;7;0;0;15;0
113;88;39;17;1011;10;14;6;0;0;14;0
114;93;40;20;1010;9;14;7;0;0;18;0
115;93;37;24;1009;8;12;6;0;0;22;0
116;86;37;16;1008;8;12;6;0;0;13;0
117;83;35;15;1007;8;11;6;0;0;13;0
118;95;42;14;1006;10;14;7;0;0;12;0
119;84;35;17;1005;8;12;6;0;0;15;0
120;89;40;15;1004;10;14;6;0;0;12;0
121;87;40;13;1003;9;14;6;0;0;11;0
122;89;48;2;1002;10;19;9;0;1;0;0
123;90;46;2;1002;9;18;9;0;0;0;0
124;84;40;1;1002;8;15;7;0;0;0;0
125;100;58;1;1002;10;31;8;0;0;0;0
126;77;36;2;1002;8;12;6;0;0;0;0
