tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;221;103;117;44268;16;47;21;12;14;0;71
1;815;111;541;44268;14;53;24;16;32;425;37
2;241;46;129;33714;9;18;8;9;19;57;27
3;236;56;134;28976;11;23;9;10;20;46;28
4;188;47;90;25134;10;18;8;14;8;43;16
5;168;49;74;21855;10;18;11;6;8;28;23
6;193;99;50;19042;9;16;63;4;5;27;9
7;132;43;46;16620;9;16;7;4;4;24;8
8;128;42;43;14531;10;15;7;3;3;23;7
9;123;47;35;12742;9;15;13;3;3;17;6
10;118;42;36;11223;9;15;8;2;3;21;5
11;113;43;29;9939;9;15;7;2;2;16;5
12;106;37;27;8830;8;13;6;2;2;15;4
13;112;45;27;7874;11;16;8;2;2;14;5
14;107;44;23;7060;10;18;7;1;2;13;3
15;104;40;22;6351;9;14;7;1;1;13;3
16;106;40;21;5742;9;14;6;1;1;13;3
17;97;36;19;5226;8;12;6;1;1;12;2
18;100;40;21;4771;9;14;6;1;1;13;3
19;89;36;18;4388;8;12;6;1;1;11;2
20;95;38;21;4051;8;13;6;1;1;13;3
21;92;42;16;3750;10;15;7;0;1;9;2
22;98;48;14;3471;10;19;9;0;1;7;2
23;93;47;10;3223;9;18;10;0;1;4;1
24;124;77;14;3005;10;16;41;0;1;8;1
25;96;40;17;2819;9;14;7;0;0;12;1
26;103;44;25;2660;9;18;6;0;1;17;3
27;91;40;16;2520;9;14;6;0;0;12;1
28;92;40;16;2396;10;14;7;0;0;12;1
29;92;37;19;2290;8;13;6;0;0;15;1
30;89;40;14;2194;10;14;6;0;0;10;1
31;94;40;18;2107;9;13;6;0;0;14;1
32;90;41;14;2031;10;14;6;0;0;11;1
33;87;36;17;1964;9;12;6;0;0;13;1
34;94;44;16;1905;11;16;7;0;0;12;1
35;88;39;15;1852;10;13;6;0;0;11;0
36;87;36;18;1801;8;12;6;0;1;13;1
37;91;40;15;1756;9;13;7;0;0;12;0
38;86;40;14;1712;10;14;6;0;0;11;0
39;86;36;17;1675;9;12;6;0;4;11;1
40;122;57;22;1639;12;26;9;0;0;18;1
41;105;42;24;1605;9;15;7;0;0;21;1
42;119;44;28;1572;10;16;7;0;0;25;1
43;117;48;29;1541;9;21;7;0;0;26;1
44;118;46;28;1512;10;15;10;0;0;24;0
45;128;62;23;1487;11;33;7;0;0;20;1
46;109;47;18;1463;15;14;7;0;0;15;0
47;90;41;14;1440;10;14;7;0;0;11;0
48;97;49;14;1418;10;15;7;0;0;11;0
49;103;36;33;1397;8;12;6;0;0;29;1
50;120;49;26;1377;11;18;8;0;0;23;0
51;88;40;15;1359;9;14;6;0;0;13;0
52;87;40;13;1341;10;13;6;0;0;11;0
53;87;40;13;1323;11;13;6;0;0;11;0
54;88;37;16;1305;9;13;6;0;0;12;0
55;88;40;16;1289;10;15;6;0;0;13;0
56;93;37;21;1275;9;13;6;0;0;18;0
57;98;37;26;1261;9;12;6;0;0;23;0
58;93;41;16;1248;10;14;7;0;0;13;0
59;85;37;16;1237;8;13;6;0;0;14;0
60;93;40;14;1227;9;14;7;0;0;12;0
61;85;40;14;1217;10;14;6;0;0;11;0
62;85;40;13;1207;10;14;6;0;0;11;0
63;87;39;14;1198;10;14;6;0;0;12;0
64;88;40;15;1190;9;14;6;0;0;13;0
65;86;38;15;1183;9;13;6;0;0;13;0
66;91;42;14;1176;10;14;6;0;0;12;0
67;91;42;13;1170;9;15;7;0;0;10;0
68;93;49;8;1164;10;19;9;0;0;4;0
69;98;47;10;1159;9;18;9;0;0;7;0
70;89;46;8;1154;9;18;8;0;0;6;0
71;88;45;7;1149;9;18;9;0;0;5;0
72;94;50;9;1144;10;20;9;0;0;6;0
73;97;55;8;1139;10;27;9;0;0;6;0
74;89;42;15;1134;10;15;6;0;0;13;0
75;86;37;16;1129;8;12;6;0;0;14;0
76;101;44;22;1125;9;17;7;0;0;19;0
77;98;48;17;1121;10;19;7;0;0;14;0
78;93;38;22;1117;9;13;6;0;1;17;0
79;90;39;17;1113;9;13;6;0;0;16;0
80;92;39;20;1109;9;13;6;0;0;17;1
81;86;40;14;1105;9;13;6;0;0;12;0
82;86;39;14;1101;9;13;6;0;0;12;0
83;83;36;15;1097;8;12;6;0;0;13;0
84;96;41;18;1093;9;14;7;0;0;15;0
85;86;38;14;1089;9;13;6;0;0;12;0
86;86;39;13;1085;9;14;6;0;0;11;0
87;86;39;15;1081;9;13;6;0;0;14;0
88;102;47;20;1077;12;17;7;0;0;18;0
89;94;45;15;1073;10;16;8;0;0;12;0
90;109;50;23;1069;10;17;8;0;0;21;0
91;94;41;17;1065;10;14;7;0;0;14;0
