tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;211;122;89;44268;18;49;33;10;13;0;49
1;401;52;251;44268;9;22;9;12;14;181;29
2;317;53;209;43922;10;22;10;12;24;118;35
3;243;45;147;43605;9;18;8;10;11;93;22
4;233;42;142;43295;9;16;7;11;11;85;23
5;276;98;129;43005;9;71;7;10;11;77;20
6;225;42;134;42724;9;16;7;11;11;80;21
7;226;42;136;42462;9;16;7;10;10;85;19
8;221;42;131;42197;9;15;7;10;10;81;19
9;217;42;128;41949;9;15;7;10;10;78;18
10;210;39;123;41721;8;14;7;10;10;74;18
11;218;42;124;41499;9;15;7;11;11;72;19
12;209;42;120;41294;9;15;7;10;10;70;18
13;208;39;119;41097;8;14;7;11;10;69;18
14;215;52;114;40905;10;21;10;10;14;59;20
15;233;76;107;40718;9;50;7;9;10;61;16
16;202;39;115;40540;8;14;7;11;10;65;17
17;198;39;111;40369;8;14;7;11;10;64;16
18;200;44;107;40210;10;16;7;10;9;62;15
19;199;42;109;40070;9;15;7;10;9;64;15
20;193;40;106;39924;8;14;7;11;10;59;16
21;199;45;106;39782;10;16;8;10;9;62;15
22;193;43;103;39640;9;16;8;10;9;58;15
23;197;43;105;39501;9;16;8;10;9;61;14
24;195;43;105;39366;9;16;8;10;9;59;16
25;218;67;103;39227;9;39;9;11;10;57;15
26;190;39;103;39092;8;13;7;10;9;59;15
27;195;43;104;38954;10;16;7;10;9;59;14
28;192;44;101;38822;10;16;8;10;9;57;15
29;195;44;103;38698;9;15;8;10;8;61;14
30;189;42;101;38576;9;15;8;10;8;57;14
31;190;43;99;38467;9;15;8;10;8;57;14
32;192;44;100;38355;10;16;8;10;8;56;14
33;193;42;103;38239;9;15;8;9;8;61;14
34;178;43;89;38118;9;15;8;9;8;48;14
35;184;43;94;37996;9;15;8;10;10;47;17
36;188;51;88;37870;9;21;11;10;14;36;17
37;189;52;86;37743;10;21;11;10;13;35;17
38;200;73;77;37615;11;41;11;9;9;36;13
39;178;44;87;37488;10;16;8;10;8;45;14
40;180;43;89;37360;10;15;8;9;8;48;13
41;176;42;86;37234;9;15;8;10;8;43;13
42;179;43;86;37112;10;16;8;9;8;46;13
43;173;43;84;36995;9;15;8;10;8;43;13
44;178;42;86;36886;9;14;8;9;8;46;13
45;172;44;82;36779;10;15;8;10;8;41;13
46;170;43;81;36682;9;15;8;9;8;41;13
47;177;44;82;36589;9;16;8;10;8;41;13
48;172;44;82;36500;9;15;8;9;8;41;14
49;169;43;80;36412;9;15;8;9;8;39;13
50;174;44;81;36330;9;16;8;10;8;40;13
