tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;172;98;74;44268;17;43;21;9;11;0;36
1;264;60;197;44268;13;26;8;12;23;57;77
2;169;46;123;43922;10;18;8;12;22;39;31
3;137;39;96;43605;9;15;6;10;17;38;20
4;137;40;96;43295;9;15;6;11;13;37;23
5;117;36;80;43005;8;13;6;9;9;34;17
6;114;36;78;42724;8;13;6;9;10;32;17
7;115;37;78;42462;8;13;6;9;9;32;16
8;129;46;83;42197;9;18;8;9;14;29;20
9;144;46;97;41949;9;19;9;9;12;24;41
10;115;41;71;41721;10;15;6;8;10;24;15
11;114;44;70;41499;10;15;6;9;9;22;16
12;105;42;63;41294;10;15;6;8;9;21;14
13;103;41;62;41097;10;14;7;8;9;19;14
14;99;37;62;40905;8;12;6;9;9;19;14
15;99;41;58;40718;9;14;7;8;8;17;14
16;98;40;58;40540;9;14;7;8;9;17;13
17;96;40;56;40369;9;14;7;8;8;15;13
18;107;53;54;40210;9;28;6;8;9;14;13
19;98;40;57;40070;9;14;7;8;8;18;13
20;93;40;53;39924;9;13;7;8;8;14;12
21;93;41;52;39782;9;14;7;8;8;14;12
22;94;40;53;39640;9;14;7;8;8;14;12
23;89;37;52;39501;8;12;7;8;8;14;12
24;92;40;52;39366;9;13;7;8;8;14;12
25;92;40;52;39227;9;14;7;8;8;13;12
26;96;41;55;39092;9;14;7;8;9;14;13
27;99;45;54;38954;8;17;9;9;9;13;13
28;106;47;58;38822;9;18;9;8;12;13;15
29;108;47;60;38698;9;19;9;8;12;15;14
30;109;48;61;38576;9;18;9;8;18;12;13
31;92;40;51;38467;9;13;7;8;8;13;11
32;88;38;50;38355;9;13;7;7;7;14;11
33;91;40;51;38239;9;14;7;8;7;15;11
34;75;37;38;38118;8;12;7;8;7;2;11
35;79;39;40;37996;9;12;7;8;8;2;12
36;79;39;40;37870;9;13;7;8;7;2;12
37;73;37;36;37743;8;12;7;6;7;2;11
38;80;42;38;37615;10;14;7;7;7;2;11
39;74;37;37;37488;8;12;7;8;7;2;11
40;79;38;40;37360;9;13;7;8;8;2;12
41;73;38;35;37234;8;12;7;6;7;2;11
42;79;41;37;37112;10;14;7;7;7;2;11
43;86;40;46;36995;9;13;7;7;7;1;20
44;72;37;34;36886;8;12;7;6;7;1;10
45;78;42;35;36779;10;14;7;6;7;1;11
46;75;38;37;36682;8;12;7;7;7;1;11
47;75;37;38;36589;8;12;7;8;7;1;12
48;78;40;38;36500;9;13;7;8;8;1;11
49;74;39;35;36412;9;12;7;7;7;1;11
50;73;37;35;36330;8;12;7;7;7;1;11
51;78;42;36;36257;10;14;8;7;7;1;11
52;76;39;37;36187;9;13;7;8;7;1;11
53;76;39;37;36117;9;13;7;8;7;1;11
54;70;38;32;36061;8;12;7;6;6;0;10
55;77;43;34;36010;10;14;8;6;7;0;11
56;73;37;36;35965;8;12;7;7;8;0;11
57;89;46;42;35926;9;17;9;8;10;0;13
58;86;45;41;35892;8;17;9;7;10;0;14
59;93;51;42;35864;10;21;10;7;12;0;12
60;87;44;43;35843;8;16;9;8;10;0;15
61;89;46;42;35825;9;18;10;7;11;0;13
62;89;54;35;35807;9;26;9;7;7;0;11
63;75;39;36;35793;9;13;7;8;7;0;11
64;74;38;36;35781;8;12;7;8;7;0;11
65;75;38;37;35773;8;12;7;8;7;0;11
66;74;38;36;35766;8;12;7;8;7;0;12
67;74;38;36;35764;8;12;7;8;7;0;11
68;69;37;31;35763;8;12;7;6;6;0;10
