tick;time;time_patch;time_drop;drops;
0;472;78;390;164687;
1;11658;44;10932;164679;
2;4638;37;4303;112299;
3;2795;25;2521;87485;
4;1885;26;1629;70139;
5;1355;24;1116;57295;
6;1042;22;809;47568;
7;814;22;596;39992;
8;684;24;471;34012;
9;605;33;383;29204;
10;544;32;327;25321;
11;500;22;297;22114;
12;465;26;267;19482;
13;442;24;244;17298;
14;420;21;227;15440;
15;412;20;219;13850;
16;405;32;205;12473;
17;1455;22;213;11309;
18;408;24;204;10308;
19;393;25;189;9462;
20;381;20;189;8738;
21;382;25;187;8108;
22;370;20;176;7560;
23;373;20;180;7071;
24;367;19;176;6639;
25;365;18;177;6255;
26;377;24;180;5908;
27;362;18;175;5587;
28;363;19;175;5304;
29;363;22;172;5048;
30;359;19;172;4818;
31;359;19;171;4609;
32;354;18;168;4416;
33;360;19;171;4245;
34;356;19;171;4086;
35;354;20;165;3940;
36;353;18;166;3806;
37;355;19;168;3680;
38;358;23;167;3565;
39;356;22;168;3457;
40;353;18;168;3363;
41;355;23;165;3276;
42;355;19;168;3195;
43;357;23;165;3123;
44;356;19;171;3055;
45;358;21;168;2991;
46;389;60;162;2935;
47;353;18;167;2880;
48;347;19;163;2827;
49;355;19;169;2777;
50;353;20;166;2731;
51;351;18;167;2689;
52;351;20;164;2651;
53;356;19;169;2613;
54;348;18;162;2576;
55;352;18;166;2541;
56;351;23;162;2508;
57;351;19;164;2478;
58;349;20;164;2450;
59;366;24;175;2424;
60;339;25;163;2398;
61;380;21;190;2374;
62;310;15;156;2351;
63;294;13;148;2329;
64;292;13;149;2307;
65;291;13;148;2286;
66;296;13;150;2265;
67;292;13;143;2246;
68;293;14;144;2227;
69;290;13;144;2208;
70;290;12;147;2190;
71;291;13;146;2173;
72;291;12;148;2157;
73;293;14;146;2141;
74;294;13;148;2125;
75;294;13;144;2109;
76;292;12;148;2093;
77;325;13;145;2077;
78;290;14;143;2063;
79;294;13;146;2049;
80;294;13;148;2035;
81;289;12;146;2021;
82;291;13;144;2008;
83;292;13;148;1996;
84;295;13;146;1985;
85;294;13;144;1974;
86;295;13;144;1964;
87;293;14;147;1955;
88;292;12;146;1946;
89;297;12;153;1938;
90;292;13;146;1930;
91;292;13;147;1923;
92;291;13;147;1916;
93;294;13;149;1909;
94;295;14;145;1902;
95;288;12;143;1895;
96;289;13;143;1888;
97;292;12;142;1882;
98;295;12;148;1877;
99;293;13;144;1872;
100;291;14;144;1868;
101;294;12;144;1864;
102;291;13;144;1860;
103;300;13;151;1856;
104;291;13;147;1852;
105;291;14;143;1848;
106;295;13;149;1844;
107;291;13;146;1840;
108;292;13;147;1836;
109;293;18;140;1833;
110;319;12;142;1830;
111;292;13;146;1827;
112;288;13;142;1824;
113;292;12;149;1821;
114;291;14;144;1818;
115;289;12;142;1815;
116;293;13;146;1812;
117;289;13;143;1809;
118;293;12;143;1807;
119;292;13;142;1805;
120;310;13;159;1803;
121;346;19;162;1801;
122;334;17;163;1799;
123;344;19;163;1797;
124;345;19;163;1796;
125;352;23;163;1795;
126;350;22;163;1794;
127;353;21;165;1793;
128;351;22;162;1792;
129;349;18;165;1791;
130;352;23;163;1790;
131;185;19;0;1789;
132;353;19;1;1789;
133;355;19;0;1789;
134;351;19;0;1789;
135;352;18;0;1789;
136;357;19;1;1789;
137;356;20;1;1789;
138;352;19;0;1789;
139;355;19;0;1789;
140;355;19;0;1789;
141;354;18;0;1789;
142;352;19;0;1789;
143;383;51;0;1789;
144;349;19;0;1789;
145;371;19;0;1789;
146;356;20;0;1789;
147;353;19;0;1789;
148;354;19;1;1789;
149;356;21;0;1789;
150;354;19;1;1789;
151;355;19;0;1789;
152;357;24;0;1789;
153;353;19;0;1789;
154;356;22;0;1789;
155;351;18;0;1789;
156;355;19;0;1789;
157;352;18;0;1789;
158;354;19;0;1789;
159;356;19;0;1789;
160;355;20;0;1789;
161;352;19;0;1789;
162;353;19;1;1789;
163;352;19;0;1789;
164;357;19;0;1789;
165;353;19;0;1789;
166;353;19;0;1789;
167;351;19;0;1789;
168;356;19;1;1789;
169;351;19;0;1789;
170;356;19;0;1789;
171;352;19;0;1789;
172;372;17;0;1789;
173;358;19;0;1789;
174;375;19;0;1789;
175;375;19;0;1789;
176;358;24;1;1789;
177;395;56;0;1789;
178;349;18;1;1789;
179;350;19;0;1789;
180;354;19;0;1789;
181;352;19;0;1789;
182;355;19;0;1789;
183;354;19;1;1789;
184;354;19;0;1789;
185;355;19;0;1789;
186;352;19;0;1789;
187;354;19;0;1789;
188;355;19;0;1789;
189;352;19;0;1789;
190;352;19;0;1789;
191;355;19;0;1789;
192;352;19;0;1789;
193;356;19;0;1789;
194;355;19;0;1789;
195;355;19;0;1789;
196;354;19;0;1789;
197;353;19;0;1789;
198;358;19;0;1789;
199;353;19;0;1789;
200;356;19;0;1789;
