tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;703;369;333;164687;51;236;37;54;73;1;161
1;3639;241;3392;164679;60;111;35;54;94;3079;115
2;1519;197;1321;112299;43;95;26;32;48;1143;73
3;1652;871;780;87485;43;772;24;24;40;640;58
4;694;184;509;70139;42;87;22;19;30;396;48
5;531;183;347;57295;42;87;22;16;25;253;41
6;432;182;249;47568;42;86;22;13;21;169;34
7;367;181;186;39992;42;85;21;11;17;118;30
8;326;181;145;34012;42;85;21;9;15;86;26
9;303;184;119;29204;42;87;21;8;16;63;24
10;298;204;94;25321;42;87;42;7;12;48;19
11;257;179;77;22114;42;83;20;6;10;37;17
12;245;182;63;19482;42;85;21;5;9;28;15
13;236;182;53;17298;42;85;20;4;8;22;13
14;228;183;45;15440;43;85;21;4;7;17;12
15;222;182;39;13850;42;85;21;3;6;13;11
16;218;183;34;12473;43;85;21;3;6;10;10
17;224;192;31;11309;44;92;21;3;6;9;9
18;241;213;27;10308;45;112;22;3;5;6;8
19;219;195;24;9462;45;93;22;2;5;5;7
20;209;188;21;8738;44;89;21;2;4;4;7
21;208;186;21;8108;43;88;21;2;4;3;7
22;206;188;17;7560;44;89;21;2;4;3;5
23;203;186;17;7071;43;87;21;2;4;3;6
24;204;187;16;6639;43;88;21;2;4;2;6
25;203;190;13;6255;44;90;21;1;3;1;4
26;202;188;13;5908;44;89;21;1;3;1;4
27;199;188;11;5587;44;89;21;1;3;1;4
28;224;211;12;5304;44;105;27;1;3;1;4
29;226;216;10;5048;44;113;25;1;3;1;3
30;198;186;11;4818;43;88;21;1;3;0;4
31;198;187;11;4609;43;88;21;1;3;0;4
32;199;190;9;4416;44;90;21;1;2;0;2
33;197;187;10;4245;43;88;21;1;3;0;3
34;197;189;8;4086;44;90;21;1;2;0;2
35;196;188;8;3940;44;89;21;1;2;0;2
36;195;187;8;3806;44;88;21;1;2;0;2
37;195;188;7;3680;44;89;21;1;2;0;2
38;195;188;7;3565;44;89;21;1;2;0;1
39;196;189;7;3457;44;90;21;1;2;0;1
40;205;199;6;3363;43;101;21;0;2;0;1
41;193;187;6;3276;44;88;21;0;2;0;1
42;194;189;5;3195;44;90;21;0;2;0;1
43;194;188;5;3123;44;89;21;0;2;0;1
44;193;186;7;3055;43;87;21;1;2;0;2
45;191;186;5;2991;43;87;21;0;2;0;1
46;194;187;7;2935;44;88;21;1;2;0;1
47;189;184;5;2880;43;86;21;0;2;0;1
48;195;189;6;2827;45;89;21;0;2;0;1
49;193;188;5;2777;44;89;21;0;1;0;1
50;192;188;4;2731;44;89;21;0;1;0;1
51;195;189;5;2689;44;90;21;0;2;0;1
52;219;214;5;2651;44;108;28;0;2;0;1
53;207;202;5;2613;44;102;22;0;1;0;0
54;191;187;4;2576;44;88;21;0;2;0;0
55;195;190;4;2541;44;90;21;0;1;0;0
56;193;189;4;2508;44;89;21;0;1;0;0
57;193;189;4;2478;44;89;21;0;1;0;0
58;192;188;4;2450;44;89;21;0;1;0;0
59;189;184;5;2424;43;87;20;0;2;0;0
60;192;187;4;2398;44;88;21;0;1;0;0
61;200;195;4;2374;45;95;21;0;1;0;0
62;187;182;4;2351;40;86;20;0;1;0;0
63;180;176;4;2329;40;83;20;0;1;0;0
64;176;172;4;2307;39;80;20;0;1;0;0
65;185;181;4;2286;37;90;21;0;2;0;0
66;172;168;4;2265;38;78;20;0;1;0;0
67;179;175;4;2246;40;82;20;0;1;0;0
68;183;180;3;2227;40;84;21;0;1;0;0
69;175;170;4;2208;38;80;20;0;1;0;0
70;174;171;3;2190;38;79;20;0;1;0;0
71;174;170;4;2173;38;79;20;0;1;0;0
72;179;175;4;2157;40;82;21;0;1;0;0
73;175;172;3;2141;38;80;20;0;1;0;0
74;172;169;3;2125;38;78;20;0;1;0;0
75;178;174;3;2109;39;81;20;0;1;0;0
76;175;172;3;2093;38;80;20;0;1;0;0
77;178;174;3;2077;39;81;21;0;1;0;0
78;185;182;3;2063;38;88;23;0;2;0;0
79;195;192;3;2049;39;98;23;0;1;0;0
80;188;183;4;2035;40;88;22;0;1;0;0
81;183;180;3;2021;41;84;21;0;1;0;0
82;189;186;3;2008;41;88;22;0;1;0;0
83;199;194;5;1996;42;93;22;0;2;0;0
84;185;182;3;1985;41;85;22;0;1;0;0
85;185;182;3;1974;40;86;21;0;1;0;0
86;179;176;3;1964;40;82;21;0;1;0;0
87;188;184;3;1955;41;87;21;0;1;0;0
88;179;176;3;1946;39;82;21;0;1;0;0
89;177;174;3;1938;38;82;21;0;1;0;0
90;177;173;3;1930;39;81;21;0;1;0;0
91;179;175;4;1923;39;81;21;0;2;0;0
92;176;173;3;1916;39;81;20;0;1;0;0
93;185;183;2;1909;39;80;30;0;1;0;0
94;175;171;3;1902;38;80;20;0;1;0;0
95;214;211;3;1895;47;103;24;0;1;0;0
96;150;147;3;1888;35;68;17;0;1;0;0
97;157;154;3;1882;37;72;17;0;1;0;0
98;150;147;3;1877;34;69;16;0;1;0;0
99;150;147;3;1872;35;68;16;0;1;0;0
100;150;147;3;1868;35;69;16;0;1;0;0
101;144;141;3;1864;33;65;16;0;1;0;0
102;148;146;2;1860;35;68;16;0;1;0;0
103;151;147;3;1856;35;69;17;0;1;0;0
104;150;147;3;1852;35;69;16;0;1;0;0
105;144;142;2;1848;34;66;16;0;1;0;0
106;159;155;3;1844;36;74;18;0;1;0;0
107;165;163;2;1840;34;84;18;0;1;0;0
108;150;146;3;1836;35;68;16;0;1;0;0
109;149;146;3;1833;34;68;16;0;1;0;0
110;144;142;2;1830;33;65;16;0;1;0;0
111;155;152;3;1827;36;71;17;0;1;0;0
112;144;142;2;1824;33;65;16;0;1;0;0
113;155;153;2;1821;36;71;17;0;1;0;0
114;150;147;2;1818;34;69;16;0;1;0;0
115;144;142;2;1815;34;65;16;0;1;0;0
116;151;148;3;1812;35;69;16;0;1;0;0
117;153;151;2;1809;36;70;17;0;1;0;0
118;144;142;2;1807;34;65;16;0;1;0;0
119;155;152;2;1805;36;71;17;0;1;0;0
120;143;141;2;1803;33;65;16;0;1;0;0
121;166;162;3;1801;36;71;28;0;1;0;0
122;149;147;2;1799;35;69;16;0;1;0;0
123;144;141;2;1797;33;65;16;0;1;0;0
124;156;153;2;1796;36;72;17;0;1;0;0
125;143;141;2;1795;33;65;16;0;1;0;0
126;149;146;2;1794;35;68;17;0;1;0;0
127;149;146;2;1793;35;67;16;0;1;0;0
128;155;153;2;1792;37;71;17;0;1;0;0
129;149;147;2;1791;35;68;16;0;1;0;0
130;144;141;2;1790;33;65;16;0;1;0;0
131;154;152;2;1789;36;71;17;0;1;0;0
132;143;140;2;1789;32;65;16;0;1;0;0
133;152;149;3;1789;35;69;17;0;1;0;0
134;148;146;2;1789;34;67;17;0;1;0;0
135;154;152;2;1789;36;70;17;0;1;0;0
136;164;161;3;1789;34;81;19;0;1;0;0
137;176;174;2;1789;39;82;20;0;1;0;0
138;170;168;2;1789;37;77;20;0;1;0;0
139;177;174;3;1789;40;81;20;0;1;0;0
140;171;169;2;1789;37;78;20;0;1;0;0
141;172;169;2;1789;38;78;20;0;1;0;0
142;179;176;2;1789;41;81;21;0;1;0;0
143;171;169;2;1789;37;78;20;0;1;0;0
144;184;182;2;1789;42;84;21;0;1;0;0
145;175;172;2;1789;39;80;20;0;1;0;0
146;172;169;3;1789;37;78;20;0;1;0;0
147;173;171;2;1789;38;79;20;0;1;0;0
148;179;175;3;1789;40;82;20;0;1;0;0
149;175;172;3;1789;38;80;20;0;1;0;0
150;175;173;2;1789;39;81;20;0;1;0;0
151;183;181;2;1789;38;90;20;0;1;0;0
152;175;172;3;1789;38;80;20;0;1;0;0
153;174;172;2;1789;39;80;20;0;1;0;0
154;171;167;3;1789;37;77;20;0;1;0;0
155;173;170;3;1789;38;79;20;0;1;0;0
156;178;176;2;1789;40;82;20;0;1;0;0
157;177;173;3;1789;39;81;20;0;1;0;0
158;174;171;3;1789;38;80;20;0;1;0;0
159;176;173;3;1789;39;81;20;0;1;0;0
160;174;172;2;1789;39;80;20;0;1;0;0
161;176;172;3;1789;38;80;20;0;1;0;0
162;174;172;2;1789;39;80;20;0;1;0;0
163;176;172;3;1789;38;80;20;0;1;0;0
164;171;168;3;1789;37;78;20;0;1;0;0
165;177;174;3;1789;40;81;20;0;1;0;0
166;192;190;2;1789;38;86;32;0;1;0;0
167;171;168;3;1789;37;78;20;0;1;0;0
168;176;174;2;1789;39;81;21;0;1;0;0
169;176;172;3;1789;39;80;20;0;1;0;0
170;175;173;2;1789;39;80;20;0;1;0;0
171;175;173;2;1789;39;80;20;0;1;0;0
172;176;172;3;1789;39;80;20;0;1;0;0
173;175;173;2;1789;38;81;20;0;1;0;0
174;172;169;3;1789;37;78;20;0;1;0;0
175;177;173;4;1789;39;80;21;0;2;0;0
176;177;174;3;1789;39;81;20;0;1;0;0
177;177;174;3;1789;39;81;20;0;1;0;0
178;171;168;3;1789;37;78;20;0;1;0;0
179;175;172;3;1789;38;80;20;0;1;0;0
180;177;174;3;1789;39;81;20;0;1;0;0
181;188;185;3;1789;39;93;20;0;1;0;0
182;172;170;2;1789;37;79;20;0;1;0;0
183;172;170;2;1789;38;78;20;0;1;0;0
184;179;176;3;1789;40;82;21;0;1;0;0
185;174;171;3;1789;38;80;20;0;1;0;0
186;170;168;2;1789;37;78;20;0;1;0;0
