tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;554;190;363;164687;0;114;45;50;85;3;175
1;10609;152;10446;164679;0;92;33;42;83;10167;103
2;4696;193;4502;112299;0;149;23;33;39;4333;72
3;2306;107;2199;87485;0;65;20;26;36;2053;62
4;1482;113;1369;70139;0;71;20;20;29;1254;50
5;1002;110;892;57295;0;69;19;16;24;796;42
6;783;112;670;47568;0;71;20;13;21;524;100
7;534;106;428;39992;0;67;19;11;17;359;30
8;416;98;317;34012;0;60;18;10;16;254;28
9;338;105;233;29204;0;66;18;8;13;182;23
10;284;104;180;25321;0;65;18;7;11;135;20
11;246;104;141;22114;0;65;18;6;10;101;18
12;215;98;117;19482;0;60;17;6;10;78;18
13;221;129;91;17298;0;91;18;4;8;60;14
14;184;107;76;15440;0;67;19;4;7;47;12
15;171;105;65;13850;0;66;18;3;6;39;11
16;161;106;55;12473;0;65;19;3;6;31;10
17;159;111;48;11309;0;69;20;3;5;26;9
18;152;112;40;10308;0;69;20;2;5;20;8
19;144;108;36;9462;0;66;19;2;5;16;8
20;142;112;30;8738;0;69;20;2;4;13;7
21;169;144;25;8108;0;100;22;1;4;10;6
22;130;105;25;7560;0;64;19;2;4;10;6
23;127;106;20;7071;0;66;19;1;3;7;5
24;132;111;20;6639;0;69;20;1;3;6;5
25;126;108;18;6255;0;66;19;1;3;6;5
26;122;107;15;5908;0;66;19;1;3;4;4
27;121;105;15;5587;0;64;19;1;3;4;4
28;126;112;14;5304;0;70;20;1;3;3;4
29;123;110;13;5048;0;68;20;1;3;3;3
30;146;133;13;4818;0;68;43;1;3;2;4
31;117;107;10;4609;0;66;19;1;2;2;3
32;122;111;11;4416;0;69;20;1;2;1;3
33;117;107;10;4245;0;66;19;1;2;1;3
34;119;110;9;4086;0;68;19;1;2;1;2
35;119;110;8;3940;0;68;19;1;2;1;2
36;118;110;8;3806;0;67;20;1;2;1;2
37;116;109;7;3680;0;67;19;1;2;1;2
38;116;108;7;3565;0;67;19;1;2;0;2
39;119;111;7;3457;0;69;19;0;2;0;1
40;133;127;6;3363;0;69;35;0;2;0;1
41;116;109;6;3276;0;67;19;0;2;0;1
42;119;112;7;3195;0;69;20;0;2;0;1
43;114;107;7;3123;0;65;19;0;2;0;1
44;124;118;6;3055;0;73;22;0;2;0;1
45;117;111;6;2991;0;68;19;0;2;0;1
46;118;113;5;2935;0;68;22;0;1;0;1
47;116;110;5;2880;0;67;20;0;2;0;1
48;115;109;6;2827;0;67;19;0;2;0;1
49;116;111;5;2777;0;69;19;0;2;0;1
50;135;129;5;2731;0;88;19;0;2;0;1
51;115;110;5;2689;0;67;19;0;2;0;1
52;116;111;5;2651;0;68;20;0;2;0;1
53;114;110;4;2613;0;67;20;0;2;0;1
54;115;109;5;2576;0;68;19;0;1;0;1
55;112;108;4;2541;0;66;19;0;1;0;0
56;113;108;4;2508;0;66;19;0;1;0;0
57;112;107;4;2478;0;66;19;0;1;0;0
58;112;107;4;2450;0;66;19;0;1;0;0
59;113;109;4;2424;0;67;19;0;1;0;0
60;111;107;4;2398;0;66;19;0;1;0;0
61;125;121;4;2374;0;81;18;0;1;0;0
62;111;106;4;2351;0;66;19;0;1;0;0
63;115;110;4;2329;0;67;20;0;1;0;0
64;110;107;3;2307;0;66;19;0;1;0;0
65;109;104;4;2286;0;65;18;0;1;0;0
66;112;108;4;2265;0;67;19;0;1;0;0
67;109;105;4;2246;0;65;18;0;1;0;0
68;112;108;4;2227;0;66;19;0;1;0;0
69;108;104;4;2208;0;65;18;0;1;0;0
70;109;106;3;2190;0;64;19;0;1;0;0
71;131;127;4;2173;0;86;18;0;1;0;0
72;108;104;4;2157;0;64;18;0;1;0;0
73;110;106;4;2141;0;65;19;0;1;0;0
74;108;104;4;2125;0;64;18;0;1;0;0
75;110;106;4;2109;0;65;19;0;1;0;0
76;110;107;3;2093;0;66;19;0;1;0;0
77;110;107;3;2077;0;66;19;0;1;0;0
78;108;104;3;2063;0;64;18;0;1;0;0
79;108;105;3;2049;0;64;18;0;1;0;0
80;108;105;3;2035;0;65;18;0;1;0;0
81;110;107;3;2021;0;66;19;0;1;0;0
82;129;126;3;2008;0;85;19;0;1;0;0
83;109;106;3;1996;0;65;18;0;1;0;0
84;113;109;3;1985;0;67;19;0;1;0;0
85;108;105;3;1974;0;65;18;0;1;0;0
86;110;107;3;1964;0;66;19;0;1;0;0
87;107;103;3;1955;0;63;18;0;1;0;0
88;108;105;3;1946;0;65;18;0;1;0;0
89;106;103;3;1938;0;63;18;0;1;0;0
90;112;108;3;1930;0;67;19;0;1;0;0
91;109;106;3;1923;0;65;19;0;1;0;0
92;109;106;3;1916;0;65;19;0;1;0;0
93;136;133;3;1909;0;92;19;0;1;0;0
94;106;103;3;1902;0;63;18;0;1;0;0
95;109;106;3;1895;0;66;19;0;1;0;0
96;109;106;3;1888;0;65;19;0;1;0;0
97;109;106;3;1882;0;65;19;0;1;0;0
98;107;105;2;1877;0;65;18;0;1;0;0
99;110;107;3;1872;0;66;19;0;1;0;0
100;109;107;2;1868;0;65;19;0;1;0;0
101;107;104;3;1864;0;64;18;0;1;0;0
102;107;105;2;1860;0;65;18;0;1;0;0
103;111;109;2;1856;0;67;19;0;1;0;0
104;105;102;2;1852;0;62;18;0;1;0;0
105;125;121;3;1848;0;66;34;0;1;0;0
106;112;109;3;1844;0;67;19;0;1;0;0
107;109;106;3;1840;0;66;19;0;1;0;0
108;109;106;3;1836;0;65;19;0;1;0;0
109;111;108;3;1833;0;67;19;0;1;0;0
110;112;109;3;1830;0;67;19;0;1;0;0
111;109;106;3;1827;0;65;19;0;1;0;0
112;109;107;2;1824;0;66;19;0;1;0;0
113;113;111;2;1821;0;68;19;0;1;0;0
114;109;106;2;1818;0;65;19;0;1;0;0
115;108;106;2;1815;0;65;19;0;1;0;0
116;109;105;3;1812;0;65;19;0;1;0;0
117;127;124;3;1809;0;85;18;0;1;0;0
118;109;106;3;1807;0;65;19;0;1;0;0
119;109;106;3;1805;0;65;19;0;1;0;0
120;108;106;2;1803;0;65;18;0;1;0;0
121;109;106;2;1801;0;65;19;0;1;0;0
122;110;107;3;1799;0;65;19;0;1;0;0
123;106;104;2;1797;0;64;18;0;1;0;0
124;110;106;3;1796;0;66;19;0;1;0;0
125;110;107;3;1795;0;66;19;0;1;0;0
126;109;105;3;1794;0;65;18;0;1;0;0
127;109;105;3;1793;0;65;19;0;1;0;0
128;110;107;3;1792;0;66;19;0;1;0;0
129;125;123;2;1791;0;83;18;0;1;0;0
