tick;time;time_patch;time_drop;drops;
0;253;61;191;164687;
1;3271;45;3211;164679;
2;1313;49;1263;112299;
3;1512;809;703;87485;
4;477;17;459;70139;
5;325;14;309;57295;
6;234;16;217;47568;
7;178;17;160;39992;
8;139;14;124;34012;
9;111;16;95;29204;
10;92;15;77;25321;
11;76;15;61;22114;
12;64;14;49;19482;
13;59;16;42;17298;
14;51;15;35;15440;
15;47;17;30;13850;
16;40;15;25;12473;
17;40;18;21;11309;
18;35;16;19;10308;
19;36;16;19;9462;
20;35;20;15;8738;
21;33;21;12;8108;
22;28;15;11;7560;
23;30;17;12;7071;
24;25;16;8;6639;
25;28;18;8;6255;
26;24;15;8;5908;
27;57;48;8;5587;
28;22;15;6;5304;
29;24;16;7;5048;
30;27;21;6;4818;
31;21;15;5;4609;
32;26;19;6;4416;
33;21;17;4;4245;
34;27;21;4;4086;
35;18;14;3;3940;
36;22;18;3;3806;
37;22;17;4;3680;
38;21;17;3;3565;
39;17;14;3;3457;
40;19;16;2;3363;
41;20;16;3;3276;
42;24;19;5;3195;
43;16;13;2;3123;
44;20;17;2;3055;
45;16;14;2;2991;
46;21;18;1;2935;
47;19;16;1;2880;
48;18;15;2;2827;
49;19;16;1;2777;
50;22;16;4;2731;
51;18;16;1;2689;
52;17;14;2;2651;
53;19;17;1;2613;
54;17;15;1;2576;
55;18;16;1;2541;
56;21;18;2;2508;
57;18;15;1;2478;
58;20;17;2;2450;
59;19;17;1;2424;
60;20;18;1;2398;
61;21;19;2;2374;
62;23;22;1;2351;
63;43;41;1;2329;
64;16;15;1;2307;
65;17;16;1;2286;
66;15;13;1;2265;
67;20;18;1;2246;
68;18;16;1;2227;
69;18;15;2;2208;
70;17;15;0;2190;
71;21;18;2;2173;
72;18;16;1;2157;
73;16;15;1;2141;
74;18;17;1;2125;
75;17;16;0;2109;
76;18;15;1;2093;
77;16;15;0;2077;
78;17;15;1;2063;
79;18;16;1;2049;
80;17;15;1;2035;
81;18;16;1;2021;
82;16;15;1;2008;
83;14;13;0;1996;
84;19;18;0;1985;
85;18;17;0;1974;
86;19;17;1;1964;
87;17;16;1;1955;
88;21;19;1;1946;
89;14;14;0;1938;
90;22;20;1;1930;
91;22;21;0;1923;
92;32;31;0;1916;
93;21;19;1;1909;
94;22;21;1;1902;
95;18;17;0;1895;
96;22;20;0;1888;
97;16;15;0;1882;
98;17;16;0;1877;
99;26;25;0;1872;
100;28;27;0;1868;
101;17;16;0;1864;
102;17;16;0;1860;
103;17;16;0;1856;
104;13;12;0;1852;
105;15;14;0;1848;
106;18;16;0;1844;
107;17;16;1;1840;
108;17;16;1;1836;
109;16;15;1;1833;
110;14;13;1;1830;
111;18;17;1;1827;
112;17;16;0;1824;
113;19;18;0;1821;
114;17;15;1;1818;
115;16;15;1;1815;
116;16;16;0;1812;
117;13;12;0;1809;
118;19;17;0;1807;
119;18;17;0;1805;
120;19;18;0;1803;
121;18;17;0;1801;
122;17;17;0;1799;
123;18;17;0;1797;
124;24;23;0;1796;
125;19;17;0;1795;
126;18;17;1;1794;
127;16;16;0;1793;
128;18;17;0;1792;
129;19;18;0;1791;
130;17;16;0;1790;
131;21;20;1;1789;
132;22;21;0;1789;
133;21;19;1;1789;
134;18;17;0;1789;
135;23;20;1;1789;
136;18;17;0;1789;
137;28;27;0;1789;
138;28;27;0;1789;
139;35;34;0;1789;
140;27;26;0;1789;
141;21;20;0;1789;
142;38;35;0;1789;
143;25;24;0;1789;
144;25;24;0;1789;
145;25;23;1;1789;
146;15;13;1;1789;
147;17;16;0;1789;
148;15;14;0;1789;
149;16;15;0;1789;
150;22;21;0;1789;
151;14;13;0;1789;
152;17;16;0;1789;
153;14;13;0;1789;
154;14;12;0;1789;
155;22;21;0;1789;
156;20;19;1;1789;
157;17;17;0;1789;
158;17;16;0;1789;
159;16;15;0;1789;
160;15;14;0;1789;
161;17;17;0;1789;
162;15;14;0;1789;
163;20;19;1;1789;
164;15;14;1;1789;
165;19;18;0;1789;
166;15;14;0;1789;
167;14;13;0;1789;
168;18;18;0;1789;
169;17;14;1;1789;
170;18;17;0;1789;
171;18;17;0;1789;
172;17;16;1;1789;
173;19;18;0;1789;
174;19;18;0;1789;
175;16;16;0;1789;
176;17;16;0;1789;
177;18;17;0;1789;
178;16;15;0;1789;
179;18;17;0;1789;
180;15;15;0;1789;
181;24;22;1;1789;
182;16;15;0;1789;
183;24;23;0;1789;
184;18;17;0;1789;
185;26;25;0;1789;
186;14;13;0;1789;
187;20;19;0;1789;
188;18;16;1;1789;
189;16;15;0;1789;
190;17;16;0;1789;
191;15;14;0;1789;
192;20;19;0;1789;
193;16;15;0;1789;
194;17;16;1;1789;
195;16;16;0;1789;
196;13;12;0;1789;
197;19;17;1;1789;
198;15;14;1;1789;
199;15;14;1;1789;
200;18;17;0;1789;
