tick;time;time_patch;time_drop;drops;
0;440;61;378;164687;
1;13245;102;12553;164679;
2;5208;50;4885;112299;
3;3136;61;2844;87485;
4;2194;49;1934;70139;
5;1460;35;1228;57295;
6;1092;32;873;47568;
7;860;30;653;39992;
8;712;28;512;34012;
9;628;29;424;29204;
10;552;34;353;25321;
11;503;25;311;22114;
12;466;24;278;19482;
13;432;24;245;17298;
14;417;22;234;15440;
15;398;32;209;13850;
16;376;21;200;12473;
17;371;20;193;11309;
18;454;20;280;10308;
19;362;27;180;9462;
20;355;26;175;8738;
21;351;19;178;8108;
22;343;20;168;7560;
23;346;21;168;7071;
24;337;19;164;6639;
25;342;18;169;6255;
26;341;24;164;5908;
27;334;18;160;5587;
28;332;18;159;5304;
29;333;18;161;5048;
30;328;18;156;4818;
31;334;19;160;4609;
32;331;18;157;4416;
33;333;22;160;4245;
34;326;18;155;4086;
35;335;23;161;3940;
36;330;18;157;3806;
37;332;25;156;3680;
38;335;24;160;3565;
39;324;18;154;3457;
40;324;18;154;3363;
41;329;25;156;3276;
42;401;105;144;3195;
43;334;23;161;3123;
44;331;23;157;3055;
45;324;17;155;2991;
46;323;17;154;2935;
47;326;17;157;2880;
48;332;26;157;2827;
49;325;17;156;2777;
50;321;17;152;2731;
51;327;17;159;2689;
52;321;18;151;2651;
53;326;17;157;2613;
54;323;19;153;2576;
55;321;17;153;2541;
56;328;22;156;2508;
57;333;24;158;2478;
58;323;17;155;2450;
59;321;17;153;2424;
60;332;24;158;2398;
61;321;17;152;2374;
62;322;18;151;2351;
63;325;17;157;2329;
64;322;17;153;2307;
65;331;24;156;2286;
66;321;17;151;2265;
67;326;17;157;2246;
68;407;18;154;2227;
69;331;24;156;2208;
70;326;17;155;2190;
71;321;20;155;2173;
72;320;17;152;2157;
73;322;17;154;2141;
74;324;17;155;2125;
75;328;21;156;2109;
76;323;17;152;2093;
77;327;18;156;2077;
78;327;21;156;2063;
79;323;17;154;2049;
80;317;17;151;2035;
81;327;17;157;2021;
82;323;18;152;2008;
83;324;17;156;1996;
84;320;17;152;1985;
85;324;17;155;1974;
86;326;18;156;1964;
87;325;18;155;1955;
88;323;18;152;1946;
89;323;17;155;1938;
90;318;17;151;1930;
91;326;22;154;1923;
92;327;22;156;1916;
93;327;23;154;1909;
94;326;18;155;1902;
95;403;14;152;1895;
96;328;17;154;1888;
97;318;17;152;1882;
98;328;21;158;1877;
99;325;22;154;1872;
100;323;18;154;1868;
101;326;23;156;1864;
102;322;17;153;1860;
103;323;17;152;1856;
104;330;24;157;1852;
105;318;17;151;1848;
106;323;17;155;1844;
107;321;17;152;1840;
108;324;17;155;1836;
109;317;17;152;1833;
110;329;22;158;1830;
111;321;17;151;1827;
112;319;17;152;1824;
113;326;21;155;1821;
114;319;17;152;1818;
115;324;17;156;1815;
116;320;16;152;1812;
117;329;20;158;1809;
118;321;17;153;1807;
119;333;25;157;1805;
120;327;17;157;1803;
121;322;17;153;1801;
122;400;102;146;1799;
123;325;17;156;1797;
124;329;18;158;1796;
125;327;22;155;1795;
126;324;17;154;1794;
127;320;17;151;1793;
128;324;17;155;1792;
129;318;17;150;1791;
130;322;17;153;1790;
131;170;17;1;1789;
132;323;17;0;1789;
133;325;17;1;1789;
134;324;16;0;1789;
135;323;18;0;1789;
136;324;17;0;1789;
137;325;18;1;1789;
138;326;17;0;1789;
139;326;18;0;1789;
140;327;17;0;1789;
141;328;17;0;1789;
142;327;17;0;1789;
143;327;18;0;1789;
144;327;19;0;1789;
145;326;18;1;1789;
146;325;17;0;1789;
147;328;17;1;1789;
148;325;17;1;1789;
149;333;16;0;1789;
150;408;101;0;1789;
151;318;17;1;1789;
152;326;16;0;1789;
153;326;17;0;1789;
154;323;17;0;1789;
155;326;17;1;1789;
156;324;17;0;1789;
157;327;17;0;1789;
158;329;18;0;1789;
159;328;17;0;1789;
160;326;17;0;1789;
161;329;17;0;1789;
162;325;17;1;1789;
163;326;17;0;1789;
164;329;18;0;1789;
165;329;17;0;1789;
166;328;17;0;1789;
167;324;17;0;1789;
168;328;17;0;1789;
169;330;18;0;1789;
170;330;18;0;1789;
171;327;17;0;1789;
172;330;17;0;1789;
173;327;17;0;1789;
174;333;18;0;1789;
175;327;17;0;1789;
176;328;17;0;1789;
177;324;17;0;1789;
178;421;104;0;1789;
179;317;17;0;1789;
180;326;17;0;1789;
181;326;17;0;1789;
182;327;17;1;1789;
183;326;17;0;1789;
184;309;14;0;1789;
185;322;17;0;1789;
186;330;17;0;1789;
187;326;18;0;1789;
188;328;19;0;1789;
189;330;20;1;1789;
190;323;17;0;1789;
191;324;17;0;1789;
192;327;17;0;1789;
193;331;19;1;1789;
194;328;17;0;1789;
195;329;17;1;1789;
196;326;17;0;1789;
197;325;17;1;1789;
198;326;19;0;1789;
199;333;17;0;1789;
200;331;17;0;1789;
